Timepoint	Actinobacteria1	Bacteroidia	Flavobacteria	Sphingobacteria	4C0d-2	Chloroplast	Bacilli	Clostridia	Fusobacteria1	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Erysipelotrichi	Mollicutes	Verrucomicrobiae
0	0.0292145176742057	0.292232272834719	6.22114941956051e-05	0	0	0.000447922758207997	0.00252578666433879	0.640716178721298	0	0	0.00454143907628427	0.00165482574560852	3.73268965173831e-05	0.00348384367496109	0.0250836744596638	0	0
1	0.0702815383152633	0.234742081734979	0	0	0	0.00022985954789053	0.00485082907960772	0.645461462857738	0	7.92619130655551e-06	0.00424843854031703	0.000356678608795097	1.58523826130711e-05	0.00270283123553761	0.0371025015059517	0	0
2	0.0632915745939533	0.252830967387213	0	0	0	6.01876133892507e-05	0.00306956828285258	0.644927473925543	0	0	0.00419593647628353	0.000206357531620174	6.01876133892507e-05	0.0029663895170325	0.0283913570587239	0	0
3	0.144125683060131	0	0	0	0.0846994535519771	0	0.0539617486339491	0.000683060109290622	0	0.0635245901640578	0.507513661202462	0	0	0.145491803278132	0	0	0
4	0.0786032931184065	0.263612155254022	0	0	0	0.000188373905077016	0.00351060459461029	0.648117545317054	0	0	0.000530871914307044	0.000171249004615014	0	0.000667871117998055	0.00459803577391038	0	0
5	0.0766334282477954	0.264042040919262	0	0	0.000192394375487957	6.0466803724758e-05	0.0212018601787679	0.622676150793512	0	0.000175903429017132	0.000989456788222495	0.000885014127243604	1.64909464704249e-05	0.000786068448421654	0.012340724942074	0	0
6	0.0193757284108125	0.485535170495312	4.69942479041302e-06	0	0	1.40982743712091e-05	0.00141922628670091	0.454631753073293	4.69942479041302e-06	0.000211474115568136	0.00306872438813197	0.00114665964886074	6.10925222753393e-05	0.0153342230911099	0.0191783525696123	1.40982743712091e-05	0
7	0.0575720165663221	0.137102705475887	7.25441332320178e-06	0	0	9.61448152400643e-05	0.0311139808895139	0.688053218345708	2.77747442307755e-05	0.000300714338400633	0.00154510927317745	0.00134878244702805	7.00583151078345e-05	0.00823936558148432	0.0745228747945762	0	0
8	0.0936734855066902	0.220452874666977	0.000212645738275978	0.000589332474649938	0	6.07559252215936e-06	0.0106262113212989	0.615032231017936	0	0	0.00406457139731958	0.00108145546894989	1.82267775664981e-05	0.00414355410011957	0.0500993359376948	0	0
9	0.104225128233617	0.109219962217978	0.000134499813534382	0	0	6.11362788792189e-06	0.00596078719072259	0.73435675464136	0	0.000391272184826201	0.000593021905128274	2.44545115516876e-05	1.22272557758438e-05	0.00303235943240806	0.0420434189852107	0	0
10	0.0876912729108018	0.310920071744818	0	0	0	0	0.00809932178690153	0.554691441062651	0	0	0.000749677708649128	0.000721652373746628	1.401266745135e-05	0.000686620705118752	0.0364259290398617	0	0
11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
12	0.0452019324892536	0.426758028355514	0	0	0.000907827844264324	0	0.00159461934383321	0.482372351511147	0	0.00292873156713902	0.0116280905617269	0.00516277747955496	0	0.00502068268653546	0.0184249581610311	0	0
13	0.0549823309036036	0.23381218503423	0	0	4.42834495035849e-06	4.42834495035849e-06	0.00182890646449133	0.666434916614077	0	0.000367552630879325	0.000743961951658946	0.00167391439122613	0	0.000141707038411752	0.0400012399365713	4.42834495035849e-06	0
14	0.0161185821969152	0.340410233719321	7.90126578278745e-06	0	0	0	0.00111407847537105	0.595352475466562	0.000260741770832246	9.48151893934895e-05	0.00799608097218754	0.00111407847537105	2.37037973484224e-05	0.00716644806498676	0.0303408606059286	0	0
15	0.0659142932605864	0.229640797640174	0.000308139278955119	0	0	1.10049742483828e-05	0.0106142976625428	0.578707575824535	5.5024871241814e-05	0.00031364176607871	0.00361513404058455	0.000621781045032828	0.000247611920587613	0.084044988334745	0.0259057093806883	0	0
16	0.0577320832766796	0.375127698013649	0	0	0	0	0.00231491965718781	0.530992245019297	5.03243403737786e-06	0	0.00854004056142102	0.0029540387799376	2.01297361495114e-05	0.0014090815304678	0.0209047309911732	0	0
17	0.0728138574142666	0.284759766740775	1.3283564245954e-05	0	0	1.3283564245954e-05	0.0105205828827555	0.550563887302114	6.64178212297698e-06	6.64178212297698e-06	0.00883357022355938	0.00209880315086073	2.65671284919079e-05	0.0110253583241418	0.0593177561402974	0	0
18	0.100142135587078	0.255184141729199	0	0	0	0	0.00139597451712109	0.622522145232486	0	0.000736059290845574	0.00290616513110227	0.000494936419706386	1.26906774284099e-05	0.00224624990482175	0.0143595015102112	0	0
19	0.128786644950993	0.0670602605862963	0	0.00574104234527968	0	0	0.00370521172638979	0.688884364820962	0	0.0190146579804989	0.0260993485341985	0.00142508143322992	8.14332247556955e-05	0.0471905537458974	0.0120114006514993	0	0
20	0.0873387482083492	0.24135053352486	0	0	0	0	0.00307692307692821	0.641127568083627	0	0.000789934702977539	0.00386685777989775	0.000707118967987588	1.27408823060926e-05	0.00111482720177935	0.020614747571288	0	0
21	0.0310536044363085	0.321677029071088	0	0	1.68038985045046e-05	0.000957822214754261	0.00416736682910113	0.585296588808159	0	0.000554528650647151	0.00446983700219122	3.36077970090091e-05	5.04116955134137e-05	0.00341119139641093	0.0483112082003131	0	0
22	0.0776423056757032	0.212582114255875	5.14017250418159e-06	0	0	2.5700862520858e-05	0.00195840572409924	0.671846247160075	4.62615525376843e-05	0	0.000621960873006023	2.5700862520958e-05	5.65418975460475e-05	0.00293503849988324	0.0322545824637282	0	0
23	0.0312434131459784	0.22439493390042	1.10936488860301e-05	0	0	5.91661273920273e-05	0.00680410465007914	0.634745308311006	1.10936488860301e-05	0.000613848571691933	0.00451881297956713	0.000299528519921913	4.43745955439205e-05	0.0160894887676634	0.0811648331329639	0	0
24	0.0560130239412673	0.316246233101911	1.57446098327727e-05	0	0	6.29784393312908e-06	0.00424474681093504	0.561688955786164	0	3.14892196656454e-06	0.00154926960754691	0.00350160122681953	1.57446098327727e-05	0.0012690155525217	0.055443069065303	3.14892196656454e-06	0
25	0.0639123935954228	0.283422426023321	0.00131738954195585	0	0	3.16680178353848e-05	0.00347714835833327	0.571728060397473	0	6.33360356708696e-06	0.00758765707338223	0.00283112079449146	6.33360356708696e-06	0.00170373935954732	0.0639757296311033	0	0
26	0.128334885046696	0.0041918541715914	4.45468030987362e-06	4.45468030987362e-06	0	4.45468030987362e-06	0.00330091810962068	0.809437685704697	0	0.000686020767720557	0.00409385120476532	8.01842455776651e-05	4.45468030987362e-06	0.0009844843484818	0.0488678429992997	0	4.45468030987362e-06
27	0.0762510875135193	0.27739044418207	0.000691241493558175	0	0	0.000194659960830049	0.00581993556358147	0.604629728946153	4.76718271420121e-05	0	0.00610199387417155	0.00112426059010028	0.000162878742735041	0.00558157642787141	0.0220005482260056	0	3.97265226183101e-06
28	0.080516175271341	0.0843556767944382	1.0970004351492e-05	4.75366855228652e-05	0	0	0.00447941844349672	0.79118231050242	0	0	0.000255966768200812	0.000252310100082815	7.31333623428464e-06	0.000563126890039587	0.0383291952038719	0	0
29	0.0382378967259267	0.220798235818872	1.99748716115528e-06	0	1.99748716115528e-06	1.19849229669117e-05	0.00337175832802195	0.55187174534427	1.99748716115528e-06	0.000141821588442305	0.00186565300851615	0.000779019992848758	3.99497432231055e-06	0.00386513765683126	0.179040766716015	5.99246148345583e-06	0
30	0.0974529872509299	0.144510430517044	1.11735588902034e-05	0	0	2.79338972256086e-06	0.00301965429009093	0.68593360671321	2.79338972256086e-06	0.000167603383354051	0.00242466227919074	7.54215225091231e-05	2.79338972256086e-06	0.00206431500497063	0.0643289719209197	2.79338972256086e-06	0
32	0.041228481221685	0.217561473992921	1.15227728400958e-05	0	0	3.8409242800186e-06	0.00450924510473836	0.644115319910766	0	3.8409242800186e-06	0.000299592093840891	9.21821827203665e-05	0	0.000314955790961886	0.0918595450809666	0	0
33	0.0752256493563023	0.191421703036006	0.000172448877530005	0	0	0	0.00137269306514004	0.676672150541021	0	0	0.000458714014230014	5.51836408097017e-05	6.89795510122021e-06	0.000617366981558019	0.0539971925323017	0	0
34	0.0910852008912539	0.305464161618845	8.38618962292575e-06	0	1.11815861638943e-05	0	0.00664186218135664	0.561620323650716	0	2.79539654097858e-06	0.00229222516359884	0.00132501796041933	1.95677757867901e-05	0.000486398998129754	0.0310372877944843	5.59079308195717e-06	0
35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
36	0.0472482129365973	0.274016388678984	6.45732034119964e-06	0	0	0	0.00417142894041976	0.643071618139964	1.93719610235989e-05	0.000884652886744951	0.0053660332035497	0.000374524579789979	9.0402484776895e-05	0.00708368041430961	0.017667228453499	0	0
37	0.0670941721360868	0.271971692289946	0.000494725286115902	0	0	4.71166939157907e-06	0.00232285301004954	0.589990529544883	0	0	0.00894746017460824	0.00188466775662963	0	0.010299709289998	0.0469894788422907	0	0
38	0.0799651892007355	0.201709980867086	0.000265731292517246	0	0	0	0.00147480867346992	0.675043845663431	0	0.000169403698979545	0.00406568877551707	0.000295626062925637	9.96492346939673e-06	0.000647720025510788	0.0363520408163585	0	0
39	0.0640114833729483	0.343585849655722	3.4672020026572e-06	0	0	0	0.00357121806273711	0.565216336068543	0	3.4672020026572e-06	0.00513492616592585	0.000766251642586381	2.08032120159832e-05	0.00225714850372818	0.0154290489117875	0	0
40	0.0710670583821467	0.301529337470373	0	0	0	3.66089161015387e-05	0.00802650485525991	0.582319723968417	9.15222902538467e-06	0	0.00479576800930217	0.0011074197120677	9.15222902538467e-06	0.00152842224724029	0.0295708519810405	0	0
41	0.156695401311572	0.200862039358382	0	0	0	8.58604938694915e-05	0.0291925679156271	0.590411100045136	1.71720987738983e-05	0.000566679259538644	0.00951334272074766	0.00111618642030339	3.43441975477966e-05	0.00132225160559417	0.0101830545729077	0	0
42	0.113394311489994	0.129425031508993	0	0	7.37044598568961e-06	0	0.0220081517131988	0.705749684912962	7.37044598568961e-06	3.6852229928398e-05	0.00171731391465991	0.000670710584697964	0	0.00642702889950966	0.0205488034080989	0	7.37044598568961e-06
43	0.10246187857601	0.245817858910024	9.24996646887092e-06	0	0	0	0.00223386690223022	0.593070850118059	0	0	0.000763122233682076	0.00159099423265016	0	0.00351498725817035	0.050537191802705	0	0
44	0.0813755569722957	0.0352951041905622	0.000112675410323359	2.269643175452e-06	0	7.54037688961632e-06	0.00798895287254056	0.708898668950146	2.23773148811589e-05	0	0.00121249134883158	0	7.24026783573109e-05	0.0236343674728404	0.141377592769157	0	0
45	0.0458055294559749	0.16520760080591	7.98515825252563e-06	0	5.32343883501709e-06	0	0.00301572810003835	0.71209778092461	0.000143732848544921	0	0.00196967236894892	4.79109495150738e-05	0	0.00650790397580644	0.0651908319735643	0	0
46	0.0786032429085037	0.0782405652881037	0	0	0	4.07502944209019e-06	0.00386720294054018	0.780620789985037	8.15005888418039e-06	0	0.00021597656043001	4.07502944209019e-06	8.15005888418039e-06	0.00603511860373029	0.0523926535370025	0	0
47	0.108491389239611	0.049420248375234	3.49037703053185e-06	3.49037703053185e-06	0	0	0.0216822221136818	0.669883630829769	0	6.98075406106371e-06	0.000174518851526593	3.49037703053185e-06	2.09422621831511e-05	0.00767533909013938	0.142634257352703	0	0
49	0.0902410738051739	0.20726073234717	0	0	0	0	0.00193923723335159	0.675500969618553	0	0	0.00202003878475165	0.000204380394692167	9.50606486939778e-06	0.00179664626032147	0.0210274154911172	0	0
50	0.114640177186979	0.243948265826954	1.17187042237978e-05	0	7.81246948253853e-06	1.17187042237978e-05	0.0104218342896981	0.611853078698886	3.90623474126927e-06	3.90623474126927e-06	0.00246874035648954	5.46872863777898e-05	7.81246948252853e-05	0.00678122351083873	0.00971089956679817	3.90623474126927e-06	0
51	0.105354832747993	0.199810571058988	1.38606542228991e-05	0	0	4.62021807428971e-06	0.00634355941600961	0.672629828127958	0	0.000207909813342987	0.000961005359452941	4.62021807428971e-06	4.62021807428971e-06	0.00139992607650991	0.0132646460912992	0	0
52	0.106603133529824	0.14071222329178	9.46685810757412e-06	0	0	3.15561936919137e-06	0.00567380362580667	0.709604127550282	0	7.88904842297343e-05	0.000312406317550236	1.26224774768055e-05	9.46685810757412e-06	0.00640590731945979	0.0305747960680064	0	0
53	0.0710942997233868	0.0785440113774854	3.72299432987931e-06	3.72299432987931e-06	0	3.72299432987931e-06	0.00853682599841841	0.70159455847187	3.72299432987931e-06	9.6797852576882e-05	0.000595679092780889	4.8398926288391e-05	0	0.032040089202894	0.10743444737698	0	0
54	0.0855834236925089	0.306107091858288	0.000219231977057346	5.92518856913206e-06	5.92518856913206e-06	5.92518856913206e-06	0.00797530381405443	0.57412114640529	0	0	0.00493568207808614	0.000112578582813529	5.92518856913206e-06	0.00389284888992482	0.0170289919477004	0	0
55	0.0804280576072533	0.210591909533711	0.000888086321989884	0	0	2.96028773996628e-06	0.0133538579950393	0.657500629061005	0	2.96028773996628e-06	0.00171696688918024	0.000725270496291689	1.18411509599051e-05	0.00420064830300904	0.0305768120660807	0	0
56	0.105081164945992	0.12567156049599	4.12633177357968e-06	0	0	2.47579906414981e-05	0.00763165061522942	0.703240408341945	4.12633177357968e-06	0	0.00025170623818798	0.000286780058263978	2.06316588678984e-06	0.00366624578081972	0.0541354097034958	0	0
