Timepoint	Corynebacteriaceae	Micrococcaceae	unknown911	Bifidobacteriaceae	Coriobacteriaceae	unknown7576	Bacteroidaceae	Porphyromonadaceae	Rikenellaceae	unknown2246	unknown2958	Flavobacteriaceae	Sphingobacteriaceae	unknown7558	unknown5503	unknown1455	unknown588	Bacillaceae	Staphylococcaceae	Aerococcaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Turicibacteraceae	Catabacteriaceae	Clostridiaceae	ClostridialesFamilyXIII.IncertaeSedis	ClostridialesFamilyXI.IncertaeSedis	Lachnospiraceae	Ruminococcaceae	unknown2010	unknown3038	unknown3427	unknown3464	unknown3979	unknown4490	unknown4830	Veillonellaceae	Fusobacteriaceae	Caulobacteraceae	Bradyrhizobiaceae	Phyllobacteriaceae	Rhizobiaceae	Rhodospirillaceae	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	unknown3491	unknown4277	unknown7161	unknown78	Neisseriaceae	Desulfovibrionaceae	unknown6463	unknown3424	Campylobacteraceae	Aeromonadaceae	Enterobacteriaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Xanthomonadaceae	Erysipelotrichaceae	unknown2221	unknown6436	Verrucomicrobiaceae	unknown1257
0	1.24683615326439e-05	7.48101691956632e-05	0	0.0280288767252689	0.000311709038315597	0	0.221625126242162	0.0107103225565133	0.00147126666084657	0.00749348528109866	0.0514943331296801	6.23418076630192e-05	0	0	0	0	0.000386519207510659	0	0	0	1.24683615326439e-05	2.49367230652879e-05	0.000610949715097849	0.00168322880690643	2.49367230651876e-05	2.49367230652879e-05	0.00129670959939376	3.74050845978316e-05	0.000162088699923469	0.310674164307901	0.291572634440312	0.00902709374960694	0.00117202598406032	0	0	0.000274303953717565	4.98734461303753e-05	0	0.0268069772951394	0	0	0	0	0	0	0	0.00430158472874863	0	9.97468922608508e-05	0	0	9.97468922608508e-05	0	3.74050845978316e-05	1.24683615326439e-05	0.00165829208384174	0	0	3.74050845978316e-05	0	0.00107227909180157	0.00211962146054847	0.00026183559218422	1.24683615326439e-05	2.49367230651876e-05	0.0251362168497252	0	0	0	0
1	1.58955977141773e-05	7.94779885710866e-06	0	0.068740512315171	0.000611980511996826	0	0.186367935400283	0.00237639185828053	0.000993474857138082	0.00507069567083457	0.0404542961826914	0	0	0	0	0	0.000198694971428218	0	0	7.94779885710866e-06	2.38433965713661e-05	1.58955977141773e-05	0.000254329563426835	0.00432360257826222	7.94779885710866e-06	2.38433965712658e-05	0.000524554724568851	7.94779885710866e-06	3.97389942855434e-05	0.363953553063889	0.255712480428155	0.0113494567679145	0.00123190882285375	0	0	0.000651719506283272	6.35823908569094e-05	0	0.0124303574124826	0	0	0	0	0	0	0	0.00367983087083905	0	0.000166903775998861	0	0	3.17911954284547e-05	0	0.000174851574855949	0.000206642770285307	0.00035765094856999	0	0	1.58955977141773e-05	0	0.000222538367998481	0.00242407865141704	4.76867931427322e-05	7.94779885710866e-06	0	0.0372036464500909	0	0	0	0
2	0.000155089521118124	0	0	0.062440764419002	0.000275714704209664	0	0.206708483397298	0.00124933225344737	0.000801295859109806	0.00468714997157331	0.0397804621668013	0	0	0	0	0	6.03125915459704e-05	0	0	0	1.72321690130914e-05	1.72321690130914e-05	0.000267098619703269	0.00242111974634321	0.000189553859144708	0	0.000344643380262831	0	0.000112009098585144	0.34593579293819	0.269580052040717	0.0129413589288384	0.000930537126708742	0	0	0.00300701349278611	0.000163705605624519	0	0.0120194378866421	0	0	0	0	0	0	0	0.00417018490117956	8.61608450656577e-06	8.61608450656577e-06	0	0	0	0	0	1.72321690130914e-05	0.000206786028157499	0	0	6.03125915459704e-05	0	0.000163705605624519	0.00256759318295394	0.000241250366184082	0	0	0.0284503110406508	0	0	0	0
3	0.145017182130581	0	0	0	0	0	0	0	0	0	0	0	0	0.0804123711340948	0	0	0	0	0.0233676975945723	0.0302405498281575	0	0	0	0.00068728522336859	0	0	0	0	0	0	0.00068728522336859	0	0	0	0	0	0	0	0	0	0	0.063917525773309	0	0	0	0	0	0	0.317525773196309	0	0	0.190378006872767	0.00137457044673718	0	0	0	0	0	0	0	0	0	0	0	0.146391752576734	0	0	0	0	0
4	0	0	0	0.0779295483229672	0.000300488508460414	0	0.21694411772182	0.00103024631472228	0.000326244666329224	0.00908333834147462	0.0366338418743228	0	0	0	0	0	0.00017170771912038	0	0	0	0	0.000437854683757721	0.000257561578681072	0.00271298196210502	3.4341543824076e-05	0	0.00070400164839406	4.29269297801451e-05	0.000137366175296304	0.307159353348951	0.314620053745211	0.0117791495316691	0.00107317324449861	0	0	0.000618147788834371	0.000120195403384767	0	0.0121139795839546	0	0	0	0	0	0	0	0.000188878491032919	0	7.72684736042212e-05	0	0	4.29269297801451e-05	0	0	8.58538595602903e-06	0.00017170771912038	0	0	0	0	0.000145951561252574	0.000223220034855993	8.58538595602903e-06	0	0.000291903122504145	0.00461035225837945	0	0	0	0
5	5.52147578003994e-06	0	0	0.0731816399887057	0.000728834802965071	0	0.221941240454949	0.003633131063271	0.00401411289208205	0.00560981939252499	0.029992656437236	0	0	0.000182208700741267	0	0	5.52147578003994e-05	0	0	0	5.52147578003994e-06	0.000513497247543664	0.000215337555421407	0.0204625892408359	0	2.76073789002499e-05	0.000176687224961078	4.96932820204097e-05	0.000115950991380989	0.2659474024213	0.332260326540305	0.0150625859279341	0.000839264318566874	0	0	6.07362335804895e-05	0	0	0.00977301213068626	0	0	6.07362335803891e-05	0	0	0	0	0.000292638216342067	0	0.000369938877262726	0.000320245595243019	0	0	0	0	1.10429515600799e-05	0.000888957600586581	0	0	1.656442734017e-05	0	0.000474846917083334	0.000270552313222308	4.41718062404199e-05	0	0	0.0123957131262668	0	0	0	0
6	0.00027294759876749	0	0	0.0184898468199205	0.000178827737123805	0	0.401327090049367	0.0112002635356467	0.0102873008776405	0.0111296736393699	0.0521941692745798	4.70599308219431e-06	0	0	0	0	9.41198616437863e-06	0	0	0	0	0	6.58839031505803e-05	0.00129885409068247	1.41179792465529e-05	4.70599308219431e-06	9.88258547259705e-05	9.41198616438864e-06	9.41198616438864e-06	0.218428668910169	0.186978517141174	0.0294359867291109	0.000484717287465785	0	0	0.000715310948493216	9.88258547259705e-05	0	0.0182310172003724	4.70599308219431e-06	0	0.000211769688698294	0	0	0	0	0.00156709569636417	0.000272947598766489	0.000720016941575	0	0	0.000465893315136647	1.88239723287372e-05	0	0	0.00114826231205537	0	0	6.11779100684961e-05	0	4.7059930821843e-05	0.0149979999529166	0.000103531847808255	0	0.00020706369561651	0.0192051577683717	0	0	0	0
7	2.65274016882824e-05	2.11812373633258e-05	0	0.0567123244592348	0.000365265368751839	0	0.108106958556335	0.00185970300171142	0.00174899008639211	0.00248486925122245	0.0231318109095915	7.26795052276031e-06	0	0	0	0	8.33718338772155e-05	0	7.95822050645465e-05	0	4.23624747266517e-05	0.000267830771680917	0.000236025766645679	0.0302842558533058	6.51272193940249e-05	3.57171384089266e-05	0.000762999945933237	1.45359010455006e-05	3.60014737197045e-05	0.388113130211934	0.276334528670179	0.00756795051074365	0.00116143805268567	0	0	0.00336974078996596	0.000507727082515547	0	0.0103707765426093	2.78265736811511e-05	0.000301275490602428	0	0	0	0	0	0.000700578957689485	0	0.000271931707596725	0	0	0.000544826571290928	0	0	1.7391608550757e-05	0.00135129936139907	0	0	7.01890484077026e-05	3.47832171014139e-06	0.000219906358297835	0.00796119400834772	7.01620766163436e-05	0	0	0.0746619392485608	0	0	0	0
8	0	6.09005980438991e-06	0	0.0922217756179076	0.000316683109827954	0	0.162829928989981	0.00291713864630813	0.00273443685217123	0.00605960950536876	0.0463697153505985	0.000213152093154048	0.000590735801026302	0	0	0	6.09005980438991e-06	1.21801196087597e-05	1.82701794131898e-05	0	1.21801196087597e-05	0.000322773169632184	0.000389763827480714	0.00984153664390356	1.21801196087597e-05	0	0.000322773169633187	1.21801196087597e-05	3.65403588262794e-05	0.322468666642073	0.267286634754788	0.0157184443551354	0.000663816518679061	0	0	7.91707774570889e-05	6.09005980438991e-06	0	0.00900110839089582	0	0	0	0	0	0	0	0.000870878552027877	0.000529835202982003	0.00191836883838242	0	0	0.000578555681416841	0	0.000158341554913977	0	0.00108403064518694	0	0	1.82701794131898e-05	0	0.000633366219655909	0.0021558811707594	0.00101094992753017	0	0.000353223468654334	0.0502186331469677	0	0	0	0
9	0.000165464495609487	0	0	0.103274358518681	0.000140951237000526	0	0.0950133903673885	0.000275774159348812	0.000147079551652766	0.00135435753812908	0.012624328183555	0.000134822922348285	0	0	0	0	0	0	0	0	6.12831465219025e-06	3.06415732609012e-05	9.80530344349438e-05	0.00547871329904876	0.00029415910330453	1.22566293043805e-05	0.000404468767043855	6.12831465219025e-06	7.35397758260825e-05	0.433529235124867	0.275780287663328	0.0165832194488462	0.000943760456436998	0	0	6.12831465219025e-05	3.06415732609012e-05	0	0.00732946432401333	0	0.000312544047261251	6.12831465219025e-06	0	0	0	7.3539775826283e-05	3.06415732609012e-05	0	0.000557676633348861	0	0	0	0	0	6.12831465219025e-06	2.4513258608761e-05	0	0	1.22566293043805e-05	0	5.51548318697624e-05	0.0024206842876149	0.000202234383521927	0.000275774159348812	8.57964051306635e-05	0.0421444198630841	0	0	0	0
