Timepoint	Corynebacterium	unknown5523	Renibacterium	unknown912	Bifidobacterium	Collinsella	Eggerthella	unknown7577	Bacteroides	Parabacteroides	Alistipes	unknown2247	unknown2959	Flavobacterium	Pedobacter	unknown7559	unknown5504	unknown1456	unknown589	Bacillus	Staphylococcus	Abiotrophia	Aerococcus	Enterococcus	Lactobacillus	Leuconostoc	Weissella	Lactococcus	Streptococcus	Turicibacter	unknown1563	Clostridium1	unknown3540	Anaerococcus	Finegoldia	unknown6507	Blautia	Clostridium	Coprococcus	Epulopiscium	Eubacterium	Lachnobacterium	Lachnospira	Roseburia	Ruminococcus	unknown1949	unknown2115	unknown2169	unknown2191	unknown2207	unknown2233	unknown2260	unknown2270	unknown2280	unknown2329	unknown2337	unknown2387	unknown2442	unknown2616	unknown2650	unknown2666	unknown2708	unknown2710	unknown2941	unknown3100	unknown3303	unknown3311	unknown3325	unknown3386	unknown3579	unknown4267	unknown6150	unknown6340	unknown639	unknown6621	unknown6632	unknown6638	unknown6960	Clostridium3	Eubacterium1	Faecalibacterium	Oscillospira	Ruminococcus1	unknown1106	unknown1856	unknown2016	unknown2020	unknown2181	unknown2356	unknown2481	unknown2524	unknown2589	unknown2623	unknown3103	unknown3225	unknown3379	unknown3809	unknown4729	unknown6040	unknown870	unknown2011	unknown3039	unknown3428	unknown3465	unknown3980	unknown4491	unknown4831	Dialister	Phascolarctobacterium	Veillonella	Fusobacterium	Leptotrichia	Brevundimonas	unknown1449	Afipia	Bradyrhizobium	Rhodopseudomonas	unknown7323	unknown318	Rhizobium	unknown7056	Novosphingobium	Sphingomonas	Sutterella	unknown3138	Burkholderia	Cupriavidus	Ralstonia	Acidovorax	Hylemonella	Simplicispira	unknown1260	unknown5527	unknown6951	Mitsuaria	unknown7162	Ideonella	unknown6169	Bilophila	unknown6464	unknown3425	Campylobacter	Helicobacter	Aeromonas	Enterobacter	Erwinia	Escherichia	Ewingella	Plesiomonas	Raoultella	Serratia	Trabulsiella	unknown134	Actinobacillus	Haemophilus	unknown109	Acinetobacter	unknown1280	Pseudomonas	Lysobacter	Clostridium2	unknown2564	unknown2222	unknown6437	Akkermansia	unknown1258	unknown2173
0	1.274258700005e-05	0	0	0	0.0286453355759953	5.09703479999953e-05	0.000203881391999981	0	0.226499483925293	0.0109331396459432	0.00150362526600037	0.00765829478700928	0.0526268843100643	0	0	0	0	0	0.00039502019700022	0	0	0	0	0	2.54851740001001e-05	0.000140168457000243	0.000484218306000468	2.54851739999976e-05	0.00169476407099651	2.54851739999976e-05	0	0.00132522904800398	0	0.000127425869999476	0	0	0.0461918778750405	0.0381385628909573	0.0284414541840813	0	0.0137874791339675	0.00285433948800383	0.0161193725550331	0.0450960153930422	0.00728875976400649	0.00099392178600042	0.000191138805000239	0.0183875530410487	0	0.00151636785300012	0	0	0.0039502019700022	0.00280336914000486	0.000114683282999733	0.00123603093900577	0.00133797163500371	0.00535188654000463	0	0.00198784357200084	0.00323661709800636	6.37129350000453e-05	0.00421779629700704	0	0.0165271353389634	0.00355518177299993	0.000713584872000958	3.82277610000477e-05	0	0.0278298100080323	0.000496960893000211	0	0	0.00765829478700928	5.09703479999953e-05	0	0	1.274258700005e-05	0.00258674516099899	8.9198109000043e-05	0.247524752475381	0.0015418530269996	1.274258700005e-05	0	0.00463830166799855	0.00628209539100634	0.000203881391999981	0.0208468723320093	0.000509703479999953	0	0	0	0.0036061521209989	0.000293079501000229	0.000114683282999733	0	7.64555220000953e-05	0.00392471679600272	0.00245931929100156	0	0.00922563298800836	0.0011978031779963	0	0	0.000280336914000487	5.09703479999953e-05	0	2.54851740001001e-05	0.0249245001720295	0.00243383411700208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00439619251500343	0	0	0	0	0	0.000101940696000093	0	0	0	0	0.000101940696000093	0	3.82277610000477e-05	0	0.00169476407100676	0	0	3.82277610000477e-05	0	0	5.09703479999953e-05	0.000420505370999705	0.00039502019700022	0	0	0	0	0.000101940696000093	0	0.00189864546300264	0.0001274258700005	0.000140168457000243	0.000254851739999976	1.274258700005e-05	1.274258700005e-05	2.54851739999976e-05	0.0242109153000233	0.000560673827999948	0	0	0	0	0
1	1.63188041579908e-05	0	0	0	0.0705543497773131	0.000342694887318837	0.000244782062369862	0	0.191329819350787	0.00242334241747502	0.00101992525987649	0.00520569852641142	0.0415313565821998	0	0	0	0	0	0.000203985051975915	0	0	8.15940207901599e-06	0	0	1.63188041579908e-05	0.000114231629105935	0.000146869237421917	4.079701039508e-05	0.00439791772058985	8.15940207901599e-06	0	0.000538520537214726	0	0	2.44782062370891e-05	0	0.0582091744317859	0.022103820232051	0.0465249106546151	8.15940207901599e-06	0.0207819970952352	0.00387571598752796	0.0140341715758515	0.056291714943155	0.00486300363909567	0.00158292400333128	0.0004079701039508	0.0295125573197912	0	0.00248045823202078	1.63188041579908e-05	1.63188041579908e-05	0.00337799246071027	0.0016481992199653	0.000187666247816894	0.00168083682827717	0.00200721291143699	0.0124920445829513	8.15940207901599e-06	0.00141157655967341	0.00181138726154522	4.89564124740754e-05	0.00887742946196965	0	0.00770247556258813	0.00584213188857512	0.00159108340540925	2.44782062370891e-05	0	0.0339349532466459	0.000562998743451712	0	0	0.00888558886404762	0.00010607222702694	0	0	1.63188041579908e-05	0.00172979324075526	0.00010607222702694	0.213343886159939	0.00201537231351496	0	2.44782062370891e-05	0.0114721193231025	0.00469981559751577	0.000179506845737899	0.0138057083176479	6.52752166321691e-05	0	0	0	0.00305977577962842	2.44782062370891e-05	7.34346187111645e-05	0.000130550433263927	8.15940207901599e-06	0.00633985541539281	0.000195825649896919	0	0.0116516261687972	0.00126470732224943	0	0	0.000669070970479682	6.52752166321691e-05	0	0	0.01046035346527	0.00226015437588481	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377780316258208	0	0	0	0	0	0.000155028639500912	0	0	0	0	3.26376083160845e-05	0	0.000179506845737899	0	0.000367173093555823	0	0	1.63188041579908e-05	0	0	8.15940207901599e-06	3.26376083160845e-05	0.000163188041579909	0	0	0	0	8.15940207901599e-06	0	0.00217040095302719	0.000114231629105935	0.000187666247816894	4.079701039508e-05	0	8.15940207901599e-06	0	0.0376882782030249	0.000310057279002855	0	0	0	0	0
2	0.000158954433062503	0	0	0	0.0639968209112734	0.000167785234899137	9.71388202049309e-05	0	0.211859766867172	0.00128046626633254	0.000821264570822415	0.00480395619922571	0.0407718120805343	0	0	0	0	0	6.1815612857674e-05	0	0	0	0	8.8308018368091e-06	1.76616036735771e-05	0.000141292829389233	0.000132462027551572	3.53232073471542e-05	0.00244613210879089	0.000194277640410067	0	0.00035323207347257	0	4.41540091840969e-05	3.5323207347257e-05	0	0.0507417873542632	0.0176616036735771	0.0374072765806781	1.76616036735771e-05	0.0193306252207257	0.00325856587778386	0.0224037442599444	0.0479865771811387	0.00443306252207474	0.00249911691981686	0.000485694101024141	0.0325768279759856	0	0.00191628399858255	0	0	0.00410632285411721	0.00111268103143238	0.000150123631225867	0.00165135994348351	0.00240197809960772	0.0152507947722088	8.8308018368091e-06	0.00166019074531605	0.00169551395266669	0.000123631225714937	0.00720593429883343	0	0.0084510773578256	0.0064376545390339	0.00202225362062423	0	0	0.0299629106323048	0.000697633345107477	0	0	0.0113652419639458	9.71388202048282e-05	1.76616036735771e-05	0	0	0.00163369833980819	4.41540091839941e-05	0.223357470858298	0.000847756976333345	8.8308018368091e-06	0	0.0107294242317574	0.00505121865064943	0.000194277640410067	0.0198516425291323	5.29848110208341e-05	0	0	0	0.00173966796184987	0	8.8308018368091e-06	4.41540091839941e-05	1.76616036735771e-05	0.00744436594842462	5.29848110208341e-05	0	0.0132638643588633	0.000953726598375013	0	0	0.0030819498410409	0.000167785234899137	0	3.5323207347257e-05	0.0105086541858415	0.00176616036736798	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427410808901737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211939244083336	0	0	5.29848110208341e-05	0	0	0	1.76616036735771e-05	0.000132462027551572	0	0	0	0	0	0	0.00230483927939857	0.000114800423878303	0.000203108442246702	0.000229600847757632	0	0	0	0.0288237371953132	0.000211939244083336	0	0	0	0	0
3	0.146020761245773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0809688581316182	0	0	0	0	0.0235294117647932	0.030449826989619	0	0	0	0	0	0	0.000692041522492724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000692041522492724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062975778546848	0.000692041522492724	0	0.000692041522492724	0	0	0	0	0	0	0	0	0	0	0.00138408304498545	0.309342560553609	0.00207612456747817	0	0	0	0.19169550173015	0.00138408304498545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14740484429017	0	0	0	0	0	0	0
4	0	0	0	0	0.0801486949459916	0.00023840638575899	6.18090629746716e-05	0	0.223121887471392	0.00104192420443085	0.00033553491329131	0.00934199837531355	0.03767703881609	0	0	0	0	0	0.000176597322784629	0	0	0	0	0	0.000450323173101576	7.94687952531345e-05	0.000185427188924118	5.29791968353886e-05	0.00273725850315917	3.53194645569258e-05	0	0.000724049023417493	0	5.29791968354917e-05	2.64895984177459e-05	0	0.0577120050861383	0.0229311623636276	0.0277346095433406	0.00083000741708827	0.0139158690354679	0.00388514110126183	0.0234697841980426	0.0472309539787677	0.00623388549429791	0.00157171617277959	0.000158937590506681	0.023602232190171	0	0.00196023028291299	0	0	0.00565994419525688	0.00159820577120527	8.82986613924175e-05	0.00105958393670777	0.00183661215696426	0.001721823897154	0	0.00321407127468746	0.00142160844841548	7.94687952531345e-05	0.00670186839968774	0	0.00503302369936449	0.00519196128987736	0.00162469536962064	2.64895984177459e-05	0	0.0213859357892427	0.0011832020626565	0	0	0.00460919012468757	0.000105958393670777	0	0	0	0.000944795676898536	3.53194645569258e-05	0.282511567124868	0.000423833574683108	8.82986613924174e-06	8.82986613924174e-06	0.00598664924240046	0.00283438703069252	5.29791968353886e-05	0.0120969166107187	0.000397343976265672	0	0	0	0.00235757425917454	8.82986613924174e-06	3.53194645569258e-05	8.82986613924174e-06	2.64895984177459e-05	0.00986296047753414	8.82986613924174e-06	0	0.0121145763430369	0.00110373326740006	0	0	0.000635750362025694	0.000123618125949756	0	3.53194645569258e-05	0.0118673400910982	0.000547451700632864	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194257055063607	0	0	0	0	0	6.18090629746716e-05	0	0	0	0	4.41493306962087e-05	0	0	0	0.000176597322784629	0	0	0	0	0	0	0	0.000132447992088213	0	0	0	0	8.82986613924174e-06	0	0.00016776745664514	1.76597322784629e-05	3.53194645569258e-05	8.82986613924174e-06	0	0	0.000300215448733353	0.00444142266803624	0.000105958393670777	0	0	0	0	0
5	0	5.65930956422726e-06	0	0	0.0749971703451107	0.000345217883418018	0.000333899264289254	0	0.227481607244155	0.00365025466893354	0.00411431805318606	0.00574985851725944	0.0307413695529431	0	0	0.000186757215619448	0	0	5.65930956422727e-05	0	0	0	0	5.65930956422726e-06	0.000526315789473084	0.000135823429541042	8.48896434634605e-05	3.39558573853636e-05	0.0209394453876976	0	0	0.000181097906055067	0	5.65930956422726e-06	6.22524052065514e-05	0	0.0399830220713066	0.0200565930956005	0.0372608941707855	1.69779286927333e-05	0.0117487266553393	0.00201471420486017	0.0222637238256888	0.0237351443123455	0.00700622524051511	0.00193548387097118	0.000203735144312593	0.0425353706847315	1.69779286927333e-05	0.00198075834748212	6.79117147707272e-05	1.13186191284545e-05	0.00530277306168563	0.00194114318052733	4.52744765138182e-05	0.00109224674590095	0.000894170911148629	0.00335031126202543	0	0.00171477079796235	0.00228070175437993	2.26372382569091e-05	0.00577815506508134	0	0.00304470854555087	0.00275042444821949	0.00112620260327902	5.65930956422726e-06	0	0.0114714204866763	0.000447085455573799	5.65930956422726e-06	0	0.0051216751556316	4.52744765138182e-05	5.65930956422726e-06	0	0	0.00368421052631159	0.000215053763440327	0.269705715902783	0.00259762308998736	0	1.69779286927333e-05	0.0156253537068584	0.00306734578381663	0.000220713073004708	0.012931522354221	0.00180531975098423	0	0	0	0.0103621958121276	0.00057724957555149	0.00025466893038997	0.000226372382569091	0	0.0105036785512371	0.000237691001697854	0	0.0154385964911967	0.000860215053763368	0	0	6.22524052065514e-05	0	0	5.65930956422726e-06	0.00857951329937822	0.00142048670062068	0	0	0	0	5.65930956422726e-06	4.52744765138182e-05	0	1.13186191284545e-05	0	0	0	0	0	0.000294284097339612	5.65930956422726e-06	0	0	0	0	0.00025466893038997	0	0	9.62082625919151e-05	0	0	0	0	0	0.000911148839840745	0	0	1.69779286927333e-05	0	0	5.65930956422726e-06	2.82965478211878e-05	0.000447085455573799	0	0	0	0	0	0	0.000249009620826618	0	2.82965478211878e-05	4.52744765139211e-05	0	0	0	0.0119864176571093	0.000249009620826618	0	0	0	0	0
6	0.000276981852913536	0	0	0	0.0187631327602616	6.20821394460568e-05	9.55109837632113e-05	0	0.407258834766165	0.0112750716331881	0.0104393505252822	0.0112941738299797	0.0529656160458509	0	0	0	0	0	9.55109837631097e-06	0	0	0	0	0	0	2.86532951289024e-05	3.82043935052032e-05	5.25310410696544e-05	0.00126552053486392	1.43266475644512e-05	0	0.00010028653295126	0	0	4.77554918816056e-06	0	0.0182903533905835	0.00897803247374105	0.0191786055395649	0	0.00257879656160528	0.00155682903533663	0.0365711556828728	0.0185816618911477	0.00271728748806002	0.000873925501432337	0.000477554918816056	0.032655205348618	0	0.00072110792741132	0	9.55109837631097e-06	0.0025119388729667	0.000377268385864288	0.000171919770774025	0.000458452722063048	0.0017144221585525	0.00379178605539385	0	0.00123209169053956	0.000668576886342072	4.77554918816056e-05	0.00258357211079302	0	0.00904489016236945	0.00393982808022408	0.000692454632282824	4.77554918816056e-06	0	0.0099044890162345	0.000396370582617296	0	0	0.0309980897802981	1.91021967526016e-05	0	0	0	0.00320439350525054	9.55109837631097e-05	0.162320916905541	0.00308500477554679	0	0	0.00301337153773063	0.000998089780324856	0.000735434574975568	0.00361986628462491	0.000644699140401321	0	0	0	0.00134670487105557	5.2531041069756e-05	0.000105062082139512	9.07354345749593e-05	4.77554918816056e-06	0.00633237822349719	0.000171919770774025	0	0.0298710601719295	0.000491881566380304	0	0	0.000725883476600081	0.00010028653295126	0	1.43266475644512e-05	0.0144221585482061	0.00403533906399928	4.77554918816056e-06	0	0	0	0.000214899713466768	0	0	0	0	0	0	0	0	0.00159025787965083	0	0	0	0.00027698185291252	0.000262655205348272	0.00043935052531004	9.55109837631097e-06	0	0	0	0.000472779369627296	1.91021967526016e-05	0	0	0.00116523400191114	0	0	6.20821394460568e-05	0	0	0	9.55109837631097e-06	3.34288443170529e-05	0	0	0	0	0	0	0.013252148997158	0.000759312320916321	0.0011604584527234	0.000105062082139512	0	0	0.000210124164279024	0.0186055396370356	0.000171919770774025	0	0	0	0	0
7	2.71016546602888e-05	0	0	0	0.0579325814510584	0.000171127128456844	8.42224905268289e-05	0	0.110447208196124	0.00182212698345594	0.00178685141811703	0.00253866055612784	0.0236325576965862	0	0	0	0	0	8.51766289320879e-05	0	8.13049639805595e-05	0	0	2.51933778489522e-05	0.000273628648851092	0.00011397873692644	0.000127156406792285	0.000104880555489294	0.0308349549181799	6.65370634388738e-05	0	0.000779517017289928	0	9.67916237866728e-06	5.80749742719013e-06	0	0.05403821969182	0.0341227992026456	0.0733745078482262	3.55361881624755e-06	0.0140324394672631	0.00251621705884907	0.0506309303390205	0.0353107802463421	0.00770339830399278	0.00231299713839596	0.000152004182841569	0.0185388256537015	0	0.003496890695654	0	7.74332990290312e-06	0.00352095429125851	0.00167169809746388	4.68055812172907e-05	0.00144545601077723	0.00146622429839782	0.00834906626190597	5.489451291981e-06	0.0038941520001295	0.00253970998337041	0.00010299983434213	0.0118430404928889	0	0.00380614975959222	0.00354245627196167	0.00226395030039874	2.61475162546205e-05	0	0.0181662409172081	0.00092999870262061	1.93583247573346e-06	0	0.0189507558197372	4.87414136930037e-05	0	0	3.87166495145667e-06	0.00128306652812334	0.000262249033138874	0.244210788996047	0.000904211721993627	1.93583247573346e-06	3.55361881624755e-06	0.00561390493166813	0.00457085407486719	8.45405366616082e-05	0.0151247634815375	0.000145851083614456	1.93583247573346e-06	0	0	0.00119613664652461	0.000250441148633552	3.80805572441894e-05	5.9084224006527e-05	7.1072376325258e-06	0.00496052244960335	0.000470808004731691	0	0.0077317780172541	0.00118658032863843	0	0	0.00344268738632953	0.000518718124515394	0	1.51686136706176e-05	0.00618358279496129	0.00438037661950741	2.84289505300008e-05	0	0.000150994933107046	0.000156802430534595	0	0	0	0	0	0	0	0	0	0.000715744768246652	0	0	0	0	2.84289505300008e-05	0.000179616773288398	0	0	0	0	0.000556620725934053	0	0	0	0.00138055166750399	0	0	6.59009711681893e-05	0	3.55361881624755e-06	5.80749742719013e-06	2.61475162546205e-05	0.000184968446258671	0	0	0	0	0	0	0.00713839584395146	0.000385007905367065	0.000559743763969922	6.78092479796283e-05	0	0	0	0.07576060048642	0.000138743845982186	0	0	0	0	0
8	0	0	0	0	0.094126861774861	0.000236218514558276	2.4865106795678e-05	0	0.166204590098609	0.00289678494169285	0.00279110823780812	0.00618519531541044	0.0473307307854293	0	0.000602978839794193	0	0	0	6.21627669890414e-06	1.24325533977878e-05	1.86488300967329e-05	0	0	0	0.000329462665041428	3.72976601934658e-05	0.000360544048536154	6.21627669890414e-06	0.0100392868687421	1.24325533977878e-05	0	0.000329462665042451	0	6.21627669890414e-06	2.48651067955756e-05	0	0.0389387572419251	0.0261580923489382	0.0645995474550255	0	0.0131785066016981	0.00299624536887065	0.0261767411791716	0.0380000994604377	0.00284083845140214	0.00177785513588887	8.70278737847194e-05	0.0266429619315259	0	0.00386652410671477	0	0	0.00313300345624908	0.00115622746599437	3.10813834945207e-05	0.00113757863590429	0.000317030111643947	0.00670736255811691	0	0.00235596886888606	0.00148569013104194	8.08115970857743e-05	0.0121217395628508	0	0.00322003133003349	0.000745953203868292	0.0020265062038385	2.48651067955756e-05	0	0.0197988412860306	0.000714871820373568	0	0	0.0134085088395372	8.70278737847194e-05	0	6.21627669890414e-06	6.21627669890414e-06	0.000901360121341919	9.32441504835621e-05	0.229890344879363	0.000907576398040659	0	0	0.00798791555809633	0.00372354974263966	8.08115970857743e-05	0.0141482457666688	0.000292165004848986	0	0	0	0.00251137578635458	9.32441504835621e-05	7.45953203868293e-05	1.24325533977878e-05	1.86488300967329e-05	0.00737250416489851	8.08115970857743e-05	0	0.0160442101598767	0.000677574160181125	0	0	8.08115970857743e-05	6.21627669890414e-06	0	0	0.00678195787850794	0.00231867120869567	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888927567943415	0	0	0	0.000540816072804743	6.21627669890414e-06	0.00193326205335739	1.24325533977878e-05	0	0	0	0.000590546286395689	0	0.000161623194171344	0	0.00110649725241059	0	0	1.86488300967329e-05	0	0	0	6.21627669890414e-06	0.00060297883979317	0	0	0	0	6.21627669890414e-06	0	0.00152920406792903	0.000528383519407261	0.000130541810676618	0.00103190193201956	0	0	0.000360544048536154	0.0509610363776492	7.45953203868293e-05	0	0	0	0	0
9	0.000170085168573852	0	0	0	0.106158342992579	0.000100791211006513	2.51978027516283e-05	0	0.0976666834651375	0.000283475280956077	0.000151186816509976	0.00139217860202237	0.0129768684171329	0	0	0	0	0	0	0	0	0	0	0	3.14972534394839e-05	5.66950561911123e-05	4.40961548152981e-05	0.000503956055032567	0.00512775285995296	0.000302373633018922	0	0.000415763745401146	0	1.88983520636698e-05	1.88983520636698e-05	0	0.0541311797611667	0.0202149372574283	0.0851748727512124	0	0.019559794385926	0.00328831325908142	0.0455828251776605	0.0428677619311667	0.00510885450788703	0.00419543415814334	0.00017638461926181	0.037614020057434	0	0.00599077760420124	0	6.29945068790709e-06	0.00757823917754414	0.0015874615733532	6.92939575669264e-05	0.00230559895177636	0.00131658519376892	0.0230496900670097	1.25989013758142e-05	0.00351509348385205	0.00155596431991341	0.000170085168573852	0.0172856926875688	0	0.00236229400796387	0.00371667590586466	0.00330721161114736	1.88983520636698e-05	0	0.0204354180315481	0.000963815955249424	6.29945068790709e-06	0	0.0104885853954098	9.44917603185548e-05	0	0	6.29945068790709e-06	0.000818928589427406	7.5593408254782e-05	0.244916343294521	0.000264576928892201	0	0	0.00681600564430733	0.00251348082447075	0	0.0120130524618835	0	0	0	0	0.000283475280956077	6.29945068790709e-06	0	3.77967041274425e-05	0	0.0104822859446559	0	0	0.0170463135614964	0.000970115405937383	0	0	6.29945068790709e-05	3.14972534394839e-05	0	6.29945068790709e-06	0.00243158796553554	0.00505215945169953	0	0	0	0	0	0	0	6.29945068790709e-06	0	0	0	0	0	3.14972534394839e-05	0	0	0	0	0	0.000560651111223164	1.25989013758142e-05	0	0	0	0	0	0	0	2.51978027516283e-05	0	0	1.25989013758142e-05	0	0	0	6.29945068790709e-06	3.77967041274425e-05	0	0	0	0	6.29945068790709e-06	0	0.00211031598044553	0.0001322884644461	0.000226780224764449	0.000207881872700574	0	0.000283475280956077	0	0.043270926775192	3.77967041274425e-05	0	0	0	0	0
