Timepoint	Acidobacteriales	Actinomycetales	Bifidobacteriales	Coriobacteriales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Stramenopiles	Streptophyta	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingomonadales	Burkholderiales	Neisseriales	Rhodocyclales	Desulfovibrionales	MIZ46	Myxococcales	Campylobacterales	Aeromonadales	Enterobacteriales	Pasteurellales	Pseudomonadales	Xanthomonadales	Erysipelotrichales	RF39	Verrucomicrobiales
0	0	0.000273737386305658	0.0280456394878268	0.000895867809726973	0.292239545098212	6.22130423421315e-05	0	0	0	0	0.000447933904862986	0	0.00247607908521509	2.48852169368326e-05	0.640732123082373	0	0	0	0	0	0	0.00452910948251253	1.24426084684663e-05	0	0.00165486692630612	0	0	3.73278254052989e-05	0	0.0010700643282823	0.00211524343963827	0.000273737386305658	2.48852169368326e-05	0.0250842986723432	0	0
1	7.92669393449653e-06	0.000245727511968772	0.0689701639240193	0.00107010368115933	0.234756967564081	0	0	0	0	0	0.00022987412410082	0	0.00477979644249635	7.92669393449653e-06	0.645502393861488	0	0	7.92669393449653e-06	0	0	0	0.00404261390659303	0.00020609404229739	0	0.000356701227052444	0	0	1.58533878689531e-05	0	0.000221947430165343	0.00241764165002034	5.54868575415358e-05	0	0.0371048543073437	0	0
2	0	0.000300951005176771	0.062511823075263	0.000481521608282234	0.252841837349166	0	0	0	0	0	6.01902010353542e-05	0	0.00283753804880298	0.000189169203254199	0.64495520129287	0	0	0	0	0	0	0.00417891967188585	1.71972002957726e-05	0	0.000206366403549672	0	0	6.01902010353542e-05	0	0.00016337340280999	0.00256238284407342	0.000240760804141617	0	0.0283925776883573	0	0
3	0	0.144125683060131	0	0	0	0	0	0.0846994535519771	0	0	0	0.0232240437159211	0.030737704918028	0	0.000683060109290622	0	0	0.0635245901640578	0	0	0	0.507513661202462	0	0	0	0	0	0	0	0	0	0	0.145491803278132	0	0	0
4	0	0.000179812994485828	0.0777648388533674	0.000659314313114035	0.263614412439304	0	0	0	0	0	0.00018837551803301	0	0.00346782203651382	3.42500941877291e-05	0.648123094838785	0	0	0	0	0	0	0.000308250847690562	8.56252354694227e-06	0.000214063088673557	0.000171250470938645	0	0	0	0	0.000145562900298099	0.000222625612219739	8.56252354694227e-06	0.000291125800595197	0.00459807514469988	0	0
5	0	0.000153922269253099	0.0730031334176154	0.00347974272991945	0.264053652904996	0	0	0.000192402836567623	0	0	6.04694629212245e-05	0	0.0211588147984945	0	0.622703534715235	0	0	0.000175911164861399	0	0	0	0.000978505854542342	1.09944478038499e-05	0	0.000885053048210068	0	0	1.64916717058249e-05	0	0.000472761255565446	0.000269363971194673	4.39777912154997e-05	0	0.0123412676598983	0	0
6	0	0.000526338050012392	0.0184829245598248	0.000366556856258594	0.485537452242027	4.69944687510993e-06	0	0	0	0	1.40983406252998e-05	4.69944687510993e-06	0.00139573572190588	1.40983406252998e-05	0.45463388959104	4.69944687510993e-06	0	0.000211475109379497	0	0	0	0.00305933991568965	0	9.39889375020985e-06	0.00114666503752678	0	0	6.1092809376399e-05	0	4.69944687509993e-05	0.0149771371909387	0.000103387831252398	0.000206775662504797	0.0191784426972604	1.40983406252998e-05	0
7	0	0.000342809789532196	0.0566627634385369	0.000568949354672518	0.1371086733338	7.2547290960219e-06	0	0	0	1.8913674717419e-06	9.42576327960692e-05	8.63814221180559e-05	0.0309204166899793	6.50087437993992e-05	0.688083168183893	2.77759532202448e-05	0.000300727428006982	0	0	0	0	0.0015202510886269	1.73599707626905e-05	7.56546988693759e-06	0.00134884115733556	0	0	7.00613646324135e-05	3.4719941525281e-06	0.000219506317626611	0.00794671147396585	7.00344419065457e-05	0	0.0745261186541813	0	0
8	0	0.000510365275718248	0.0921513111526819	0.00101465477434477	0.220459571779622	0.00021265219821652	0.000589350377913727	0	0	0	6.07577709188914e-06	3.03788854594457e-05	0.0105536248086195	1.21515541837583e-05	0.615050915011681	0	0	0	0	0	0	0.0040646948744688	0	0	0.00108148832236179	0	0	1.82273312756874e-05	0	0.000631880817555831	0.00215082509053412	0.00100857899725504	0.00035239507132929	0.0501008578996865	0	0
9	0	0.000409633103246002	0.103148060968408	0.000672531960552064	0.109225304320904	0.000134506392110613	0	0	0	0	0	0	0.00562481276098108	0.000293468491876882	0.734392673069529	0	0.000311810272619375	6.11392691411421e-06	0	0	7.33671229693706e-05	0.000586936983754765	6.11392691411421e-06	0	2.44557076564569e-05	0	0	1.22278538282284e-05	0	5.50253422270779e-05	0.00241500113107486	0.000476886299300809	8.5594976797599e-05	0.0420454753883353	0	0
