Timepoint	Acidobacteria	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Fusobacteria	Proteobacteria	Tenericutes	Verrucomicrobia
0	0	0.0292145176742145	0.292294484328851	0.000447922758208132	0.643241965385691	0	0.00971743539336339	0.0250836744596714	0
1	7.92612848254434e-06	0.0702809812547564	0.234740221139065	0.000229857725994206	0.650307137478586	0	0.00733166884636002	0.0371022074267555	0
2	0	0.0632915745939437	0.252830967387175	6.01876133892416e-05	0.647997042208448	0	0.00742887113832513	0.0283913570587196	0
3	0	0.14412568306013	0	0.0846994535519762	0.0546448087432492	0	0.716530054644645	0	0
4	0	0.0786032931183759	0.263612155253919	0.000188373905076942	0.6516281499118	0	0.00136999203691958	0.00459803577390859	0
5	0	0.0766334282477804	0.264042040919211	0.000252861179212266	0.643878010972355	0	0.00285293373937015	0.0123407249420716	0
6	0	0.0193757284108027	0.485539869920067	1.4098274371202e-05	0.456050979360063	4.69942479041065e-06	0.0198221737659027	0.0191924508440027	0
7	0	0.0575720165663126	0.137109959889585	9.61448152400484e-05	0.719167199234904	2.77747442307709e-05	0.0115040299551636	0.0745228747945639	0
8	0	0.0936734855066183	0.221254852879807	6.0755925221547e-06	0.625658442339454	0	0.00930780774394188	0.0500993359376563	0
9	0	0.104225128233673	0.109354462031581	6.11362788792522e-06	0.740317541831935	0	0.00405333528968957	0.0420434189852336	0
10	0	0.087691272910779	0.310920071744737	0	0.562790762849666	0	0.00217196345496569	0.0364259290398523	0
11	0	0	0	0	1	0	0	0	0
12	0	0.0452019324892414	0.426758028355399	0.000907827844264079	0.48396697085509	0	0.0247402822949797	0.0184249581610261	0
13	0	0.0549823309036332	0.233812185034356	8.85668990072175e-06	0.668263823078427	0	0.00292713601217973	0.040005668281503	0
14	0	0.0161185821969011	0.340418134985023	0	0.596466553942041	0.000260741770832018	0.0163951264993011	0.0303408606059021	0
15	0	0.065914293260542	0.22994893691958	1.10049742483754e-05	0.58932187348668	5.50248712417769e-05	0.0888431571070369	0.0259057093806709	0
16	0	0.0577320832766949	0.375127698013748	0	0.533307164676376	5.03243403737919e-06	0.012923290607965	0.0209047309911787	0
17	0	0.0728138574142543	0.284773050304953	1.32835642459517e-05	0.561084470184974	6.64178212297585e-06	0.021990940609163	0.0593177561402873	0
18	0	0.10014213558709	0.25518414172923	0	0.623918119749561	0	0.00639610142390576	0.0143595015102129	0
19	0	0.128786644951039	0.0728013029316218	0	0.692589576547208	0	0.0938110749186281	0.0120114006515036	0
20	0	0.0873387482083424	0.241350533524841	0	0.644204491160575	0	0.00649147953495572	0.0206147475712864	0
21	0	0.0310536044362808	0.321677029070801	0.000974626113257398	0.589463955637636	0	0.00851957654175474	0.0483112082002701	0
22	0	0.0776423056757566	0.212587254428442	2.57008625208756e-05	0.673804652884028	4.62615525377161e-05	0.00363924213296447	0.0322545824637504	0
23	0	0.031243413146	0.22440602754883	5.91661273920682e-05	0.64154941296144	1.10936488860378e-05	0.0215660534344327	0.0811648331330201	0
24	0	0.0560130239412087	0.316261977711736	6.29784393312249e-06	0.565933702597156	0	0.00633877991868928	0.0554462179872762	0
25	0	0.0639119888022	0.284738012147967	3.80013807168479e-05	0.575201565656786	0	0.0121351075755922	0.0639753244367377	0
26	0	0.128334885046672	0.00420076353220661	4.45468030987277e-06	0.812738603814354	0	0.00584899524685764	0.0488678429992904	4.45468030987277e-06
27	0	0.0762510875135279	0.278081685676102	0.000194659960830071	0.610449664509224	4.76718271420175e-05	0.0129707096349048	0.0220005482260081	3.97265226183146e-06
28	0	0.0805161752713791	0.084414183484378	0	0.795661728945793	0	0.00107871709455972	0.03832919520389	0
29	1.99747918127669e-06	0.0382377439671109	0.220799351218733	1.39823542688968e-05	0.555241285497241	1.99747918127669e-06	0.0066556006320057	0.179048041372278	0
30	0	0.0974529872509307	0.144521604076046	2.79338972256088e-06	0.688953261003217	2.79338972256088e-06	0.00473479557974149	0.0643317653106203	0
32	0	0.0412284812217089	0.217572996766047	3.84092428002083e-06	0.648624565015141	0	0.000710570991803154	0.0918595450810199	0
33	0	0.0752256493562774	0.191594151913943	0	0.678044843605797	0	0.00113816259169966	0.0539971925322838	0
34	0	0.0910852008913415	0.305472547808139	1.11815861639051e-05	0.568262185832259	0	0.00412600529448188	0.0310428785876142	0
35	0	0	0	1	0	0	0	0	0
36	0	0.0472482129365847	0.274022845998911	0	0.647243047080791	1.93719610235937e-05	0.0137992935691955	0.0176672284534943	0
37	0	0.0670941721361006	0.272466417576002	4.71166939158004e-06	0.592313382555005	0	0.0211318372212002	0.0469894788423004	0
38	0	0.0799651892007002	0.201975712159657	0	0.676518654336901	0	0.00518840348639854	0.0363520408163424	0
39	0	0.0640114833729322	0.343589316857636	0	0.568787554131397	0	0.00818259672625133	0.0154290489117836	0
40	0	0.0710670583820843	0.301529337470109	3.66089161015065e-05	0.590346228824039	9.15222902537663e-06	0.00744076219762715	0.0295708519810146	0
41	0	0.156695401311674	0.200862039358513	8.58604938695473e-05	0.619603667960565	1.71720987739095e-05	0.0125528042036898	0.0101830545729143	0
42	0	0.113394311489902	0.129425031508888	7.37044598568361e-06	0.727757836626369	7.37044598568361e-06	0.00885190562880232	0.0205488034080822	7.37044598568361e-06
43	0	0.102461878575877	0.245827108876705	0	0.595304717020286	0	0.00586910372449296	0.0505371918026394	0
44	0	0.0813753722792128	0.0354099688761485	9.80999779987079e-06	0.716885994747314	2.23772640927473e-05	0.0249192049422787	0.141377271893154	0
45	0	0.0458055294559881	0.165215585963957	5.32343883501862e-06	0.715113509024814	0.000143732848544963	0.00852548729427778	0.0651908319735831	0
46	0	0.0786032429084673	0.0782405652880674	4.0750294420883e-06	0.784487992925673	8.15005888417661e-06	0.00626332025248739	0.0523926535369782	0
47	0	0.108491389239589	0.0494272291292894	0	0.691565852943511	0	0.00788127133493662	0.142634257352674	0
49	0	0.0902410738051153	0.207260732347035	0	0.677440206852115	0	0.00403057150463069	0.0210274154911036	0
50	0	0.11464017718697	0.243959984530937	1.9531173706295e-05	0.62227491298884	3.90623474126899e-06	0.00938668208326758	0.0097148058015375	0
51	0	0.105354832748017	0.199824431713033	4.62021807429077e-06	0.678973387544113	0	0.00257808168546043	0.0132646460913022	0
52	0	0.106603133529902	0.140721690149757	3.15561936919369e-06	0.715277931176113	0	0.00681929345682987	0.0305747960680288	0
53	0	0.0710942997234171	0.0785514573661189	3.72299432988089e-06	0.710131384470171	3.72299432988089e-06	0.0327809650746079	0.107434447377026	0
54	0	0.0855834236924601	0.306332249024339	1.18503771382174e-05	0.582096450218982	0	0.0089470347393901	0.0170289919476907	0
55	0	0.0804280576072452	0.211479995855673	2.96028773996598e-06	0.670854487056077	0	0.00665768712718768	0.0305768120660776	0
56	0	0.105081164945992	0.125675686827991	2.47579906414981e-05	0.710872058956947	4.12633177357969e-06	0.00420679524315968	0.0541354097034959	0
57	0	0.0716715685994364	0.115487453137897	4.55111758381596e-05	0.734237488693348	2.84444848987747e-06	0.00380587207945662	0.0747492618655336	0
58	0	0.109973779344006	0.273247684558103	0	0.564785417342767	0	0.00406862995058901	0.0479244888045357	0
