Timepoint	Acidobacteria1	Actinobacteria1	Bacteroidia	Flavobacteria	Sphingobacteria	4C0d-2	Chloroplast	Bacilli	Clostridia	Fusobacteria1	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Erysipelotrichi	Mollicutes	Verrucomicrobiae
0	0	0.00248217763032061	0.466432099488115	0	0	0	3.34300017551083e-05	0.00092768254870323	0.48629787803012	0	1.67150008775041e-05	1.67150008775041e-05	1.67150008775041e-05	8.35750043877207e-06	0.000117005006143029	0.0116754281130029	0.0287080140072071	0.00326778267156081
1	0	0.00204272207306811	0.520860083265517	4.86362398349549e-06	0	0	1.9454495933982e-05	0.000617680245904428	0.462316641375572	0	0	4.86362398349549e-06	1.45908719504865e-05	4.86362398349549e-06	6.32271117854414e-05	0.00525271390217513	0.00828275164389233	0.000515544142250522
2	0	0.0012101417415095	0.642786257144736	0	3.76860749952845e-05	0	4.60607583275811e-05	0.000276364549964886	0.344500973556858	0	4.18734166613828e-06	0.000309863283293873	4.18734166613828e-06	0	2.93113916629879e-05	0.00350480497455856	0.0070556707074571	0.000234491133303904
3	0	0.00122410091898024	0.544929930775108	0	0	0	3.0150268940406e-05	0.000331652958345066	0.434833208712086	0	0	0	0	6.03005378808119e-06	6.63305916690131e-05	0.00735063556767145	0.010220941170802	0.0010070189826102
4	0	0.000382189948404381	0.626982610357625	0	0	0	3.09883741949309e-05	9.29651225847927e-05	0.360301826764359	0	0	0.000366695761307366	3.61531032274361e-05	0	4.64825612924464e-05	0.00118272294844118	0.0102829755037103	0.000294389554852294
5	0	0.0015257044330512	0.507747629202401	2.26870547666179e-05	0	0	4.53741095331358e-05	0.000453741095331358	0.451075366396356	0	0	0.000374336403648295	0.000124778801216098	1.13435273833089e-05	0.000391351694723309	0.00622759653342491	0.0307409592086243	0.00125913153954099
6	0	0.00135235230742015	0.692022804812079	5.61142036272064e-06	0	0	1.68342610881019e-05	8.97827258037102e-05	0.289863530257033	0	5.61142036272064e-06	0.000959552882025109	5.61142036272064e-06	0	0.000886604417310101	0.00211550547675024	0.0120140509966014	0.000662147602801075
7	0	0.0011193723794804	0.613522211339221	0	0	0	1.44746428382052e-05	0.000323267023386117	0.371062294038134	0	0	9.64976189212348e-06	0	4.82488094606174e-06	0.000154396190274056	0.00214707202100077	0.0112419726043041	0.000400465118523144
8	0	0.00084894648099871	0.510098925846826	1.1790923347196e-05	0	0	2.94773083679899e-06	0.000875476058529701	0.474030491327838	2.94773083679899e-06	2.94773083679899e-06	8.84319251039698e-06	1.7686385020794e-05	1.1790923347196e-05	0.000159177465186946	0.00560068858991809	0.00688884696560764	0.00143849264835951
9	0	0.0010022728308101	0.632773309171064	0	0	0	1.26549599850013e-05	0.000210072335751021	0.345212122439035	0	0	1.0123967988001e-05	2.53099199700026e-06	2.53099199700026e-06	4.30268639490043e-05	0.00185521713380019	0.0183876568582019	0.000488481455422049
10	0	0.00385628979350912	0.421161014070904	1.28972902792971e-05	0	0	1.28972902792971e-05	0.000816828384356815	0.547275017518876	4.29909675976902e-06	3.43927740780922e-05	0.000670659094523848	4.29909675976902e-06	0	0.00331460360177925	0.00950530293584784	0.0110615759628975	0.00226992308914948
11	0	0.00536120646429676	0.456683325159724	0	0	0	0	0.000603342351325635	0.518147105334687	0	0	2.75498790559833e-06	2.75498790559833e-06	2.75498790559833e-06	2.20399032447867e-05	0.0108078175536935	0.00808313451503511	0.000283763754276828
12	0	0.00453805223784108	0.498206129719119	0	0	0	0	0.000820533430458196	0.471526234045112	0	0	4.186395053361e-06	0	0	2.5118370320206e-05	0.00959103106724229	0.0134257689361032	0.00186294579875044
13	0	0.00384982386230718	0.447980867905671	1.20025685496912e-05	0	0	3.0006421374178e-06	0.000501107236948632	0.525691497980614	0	3.90083477863714e-05	8.70186219850362e-05	6.0012842748256e-06	6.0012842748356e-06	0.000132028254045903	0.00810173377101406	0.0121225942351911	0.00146731400519892
14	0	0.00183198031267015	0.682896464084055	6.45063490374052e-06	0	0	0	0.000170941824949014	0.295690653353024	0	0	6.45063490374052e-06	6.45063490374052e-06	3.22531745187026e-06	2.58025396150021e-05	0.00213193483568017	0.0167232709879013	0.00050637483994304
15	0	0.00718484650555329	0.488952453884224	0	0	0	0	0.00074325998333434	0.476767494763218	0	0	0.000157661208586072	0	2.25230297980103e-05	0.000180184238384083	0.00439199081060201	0.0125453275975057	0.00905425797879415
16	0	0.00407898996438827	0.536484299125772	0	0	0	0	0.000129491744900945	0.453922520772807	0	0	0	1.07909787417954e-05	1.07909787417954e-05	0	0.00273011762165884	0.00233085140821901	0.000302147404769872
17	0	0.0092123739415294	0.340804646610978	0	0	0	0	0.000893578996638942	0.623856431640959	0	1.06378451980993e-05	0	0	0	1.06378451980993e-05	0.0136589932343991	0.00882941151438942	0.00272328837070982
18	0	0.00484431057306451	0.40776624522738	0	7.67415536328715e-05	0	0	0.000412485850776384	0.576108435815537	0	8.63342478369804e-05	0.000105519636245098	0	0	7.67415536328715e-05	0.00359726032653335	0.00602421196017561	0.00090171325518584
20	0	0.0124403445465971	0.362501455010917	0	0	0	0	0.00144046094749967	0.596459958095863	0	0	0	0	0	0	0.0124476196018971	0.0127531719240971	0.00195698987312955
21	0	0.00296309929142929	0.602104229931856	0	0	0	0	0.000343547743933918	0.384202938559908	6.13478114167853e-06	0	3.06739057083926e-05	0	6.13478114167853e-06	0.000595073770743857	0.00339253397134919	0.00569921168062863	0.000656421582159843
22	0	0.00512361635846426	0.554450851726461	6.62822297342552e-06	0	0	0	0.000490488500033408	0.417664214224348	0	0	0.000874925432491728	6.62822297342552e-06	0	0.00051700139192743	0.00562073308146468	0.0136607675482114	0.00158414529065132
23	0	0.0178851321092888	0.345919167039783	2.79892521271825e-05	0	0	2.79892521271825e-05	0.00380653828929761	0.614336094939615	0	0	0	2.79892521271825e-05	0	0.000643752798924597	0.0129870129869919	0.00279892521271825	0.00153940886699904
24	0	0.0039803405786997	0.494012183302962	0	0	0	3.46116572060974e-05	0.00186902948912986	0.484147860999963	0	0.00152291291706988	0.00148830125986989	0	0	0.00051917485809196	0.0106950020766992	0.000796068115741939	0.000934514744565929
25	0.00374326041416951	0.00477351557402531	0.473608296988011	0	0	0	0	0.00113328067585142	0.48882173151572	0	0.00532298499262176	0.0101308424052655	0	0	0.00405233696212625	0.00532298499262176	0.00068683677324155	0.00240392870634693
26	0	0.00228310502282973	0.00228310502282973	0	0	0	0	0.0707762557077915	0.00456621004565945	0	0.242009132419971	0.42009132420095	0	0	0.257990867579969	0	0	0
27	0	0.000326600341673829	0.676916892774647	0	0	0	0	0.000175861722439908	0.310194955280838	0	0.00040196965129079	0.000552708270525711	0	0	0.00040196965129079	0.000351723444879816	0.00618028338859677	0.00449703547381765
28	0	0	0.00136301681054009	0	0	0	0	0	0.00090867787369406	0	0.0899591094957059	0.700590640618046	0	0	0.207178555202014	0	0	0
30	0	0.00116951358117979	0.508392495346907	0	0	0	0	0.000181192244971967	0.464708692285915	0	0.00334382052083939	0.0071488576652487	0	0	0.00785715462286857	0.00309674018678944	0.00243785929598956	0.0016636742492897
31	0	0.00144154533660135	0.648583281277607	0	0.000400429260167374	0	0	0.00012813736325412	0.319750772828299	0	0.00035237774894733	0.00161773421107151	1.6017170406715e-05	0	0.001073150417251	0.00148959684782139	0.0226162446143212	0.00253071292425237
