Timepoint	Corynebacteriaceae	Micrococcaceae	unknown911	Bifidobacteriaceae	Coriobacteriaceae	unknown7576	Bacteroidaceae	Porphyromonadaceae	Rikenellaceae	unknown2246	unknown2958	Flavobacteriaceae	Sphingobacteriaceae	unknown7558	unknown5503	unknown1455	unknown588	Bacillaceae	Staphylococcaceae	Aerococcaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Turicibacteraceae	Catabacteriaceae	Clostridiaceae	ClostridialesFamilyXIII.IncertaeSedis	ClostridialesFamilyXI.IncertaeSedis	Lachnospiraceae	Ruminococcaceae	unknown2010	unknown3038	unknown3427	unknown3464	unknown3979	unknown4490	unknown4830	Veillonellaceae	Fusobacteriaceae	Caulobacteraceae	Bradyrhizobiaceae	Phyllobacteriaceae	Rhizobiaceae	Rhodospirillaceae	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	unknown3491	unknown4277	unknown7161	unknown78	Neisseriaceae	Desulfovibrionaceae	unknown6463	unknown3424	Campylobacteraceae	Aeromonadaceae	Enterobacteriaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Xanthomonadaceae	Erysipelotrichaceae	unknown2221	unknown6436	Verrucomicrobiaceae	unknown1257
0	0	0	0	2.52595417919013e-05	7.57786253756032e-05	0.00239965647023214	0.362103951434573	0	0.0791886635177109	0.00176816792543208	0.026800373841213	0	0	0	0	0	3.3679389055902e-05	0	0	0	0	0	0.000505190835838026	0.000412572515934824	8.41984726397046e-06	0.00719896941069641	9.26183199036046e-05	0.00127981678412045	2.52595417919013e-05	0.187299502386581	0.260055402595143	0.000749366406492838	0.000614648850269633	0.00124613739506969	0	0.000117877861695809	8.41984726397046e-06	0.0018439465508089	0.022396793722133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68396945279007e-05	1.68396945279007e-05	0	0	8.41984726397046e-06	0	4.20992363199027e-05	8.41984726397046e-06	6.73587781117032e-05	0	0	0.0117625266278054	0.0246112135525608	0.00392364882501344	0.00329216028021339	0
1	0	0	0	0	6.36939554435355e-05	0.00198921122385095	0.407729506470347	4.89953503411811e-06	0.0715969054535827	0.00448797409125622	0.0408327249743514	4.89953503411811e-06	0	0	0	0	1.95981401364725e-05	0	0	0	4.89953503411811e-06	3.42967452388269e-05	0.000132287445921693	0.000367465127559362	3.42967452388269e-05	0.00117098887315775	8.3292095580008e-05	0.00107299817247539	1.95981401364725e-05	0.228646601437196	0.195163179014273	0.00117588840818835	0.00036256559252474	0.0012787786439013	0	0.000107789770750598	0	0.000950509796619922	0.0285544901789029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.89953503411811e-06	1.46986051023544e-05	0	0	4.89953503411811e-06	0	1.46986051023544e-05	0	4.89953503411811e-05	0	0	0.00529149783684757	0.0035080670844326	0.0047035536327534	0.00051935071361652	0
2	0	0	0	0	3.78470893485927e-05	0.00113961791260246	0.518925647290479	0	0.0812114432776984	0.00484863266876515	0.0405216169959255	0	3.78470893485927e-05	0	0	0	3.78470893485927e-05	0	0	0	0	0	0.000100925571595779	0.00016400405384427	8.41046429968839e-06	0.0010597185017622	6.7283714397487e-05	0.000546680179479896	4.20523214983917e-06	0.176905706079256	0.136476604190973	0.0010134609481115	0.000294366250488943	0.000979819090912908	0	0.000113541268045878	4.20523214983917e-06	0.000773762715570648	0.0236291994500059	0	0	0	0	0	0	0	0	0	0.000164004053843265	0	0	0.000138772660945075	4.20523214983917e-06	0	4.20523214983917e-06	4.20523214983917e-06	0	0	0	0	8.41046429967835e-06	0	2.10261607491958e-05	0	0	0.00351977930941621	0.00296889389779164	0.00402861239955384	0.000235493000391155	0
3	6.0674457266946e-06	0	0	6.0674457266946e-06	5.4607011540332e-05	0.00114674724234818	0.451569648209392	6.0674457266946e-06	0.072554515999753	0.00372541167618935	0.0203926850873834	0	0	0	0	0	3.0337228633473e-05	0	0	0	0	0	0.000133483805987523	0.000200225708981284	0	0.00172922203210514	6.67419029936607e-05	0.000794835390197516	1.21348914534294e-05	0.196275801813246	0.20754911597319	0.00222675258170159	0.000497530549589401	0.0020083245355314	0	0.000103146577353446	0	0.000988993653451179	0.0193187471937486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0674457266946e-06	0	6.0674457266946e-06	6.0674457266946e-06	5.4607011540332e-05	0	0	0.0073962163408412	0.00319754389796991	0.00692295557415926	0.00101326343635864	0
4	5.1859688426974e-05	0	0	0	2.59298442135372e-05	0.000300786192876028	0.509443649262724	0	0.086138942477245	0.00485406683676412	0.0290725413321225	0	0	0	0	0	3.11158130561442e-05	0	0	0	0	0	6.74175949549958e-05	2.07438753708298e-05	5.18596884269739e-06	0.00105793764391232	3.63017818989521e-05	0.000388947663202555	0	0.228115211483592	0.0995809737176029	0.000347459912460896	7.26035637978036e-05	0.000274856348662992	0	2.59298442135372e-05	5.18596884269739e-06	0.000280042317506201	0.0278849544671852	0	0	0	0	0	0	0	0	0	0.000368203787831726	0	0	0	0	0	0	5.18596884269739e-06	3.11158130561442e-05	0	0	0	4.66737195842665e-05	0	0	0	0	0.00118758686497749	0.00446511917356859	0.00551787084863067	0.000295600224033821	0
5	2.85760007315687e-05	0	0	0	0.0001085888027798	0.00139450883570039	0.40374459913597	9.14432023409795e-05	0.0848078549711032	0.00506938252977557	0.0178142788560177	2.28608005852953e-05	0	0	0	0	4.00064010242163e-05	0	0	0	0	0	0.000262899206729989	0.000160025604096865	1.14304002926476e-05	0.00223464325720742	9.7158402487253e-05	0.000634387216239778	0.000245753606291975	0.189173124842699	0.225133164163507	0.00121162243102085	0.000411494410534509	0.00228036485837479	0	2.28608005852953e-05	5.71520014631374e-06	0.000988729625311552	0.0255240838533725	0	0	0	0	0	0	0	1.71456004389211e-05	0	0.000302905607754709	5.14368013167632e-05	0	0	0	0	0	1.71456004389211e-05	0.000102873602633123	0	1.14304002926476e-05	0	5.71520014631374e-05	1.71456004389211e-05	4.57216011704898e-05	0	0.000268614406876666	0.00627528976065176	0.0137050499508072	0.0163397572183122	0.00126877443247754	0
6	0	0	0	1.12684944164072e-05	6.76109664986439e-05	0.00127897411626934	0.589218304542085	1.12684944164072e-05	0.0730592835491466	0.00667658294175189	0.0257879494720704	5.63424720822368e-06	0	0	0	0	1.12684944164072e-05	0	0	0	0	0	5.63424720823372e-05	3.38054832494224e-05	0	0.00070991514823546	0.000197198652287628	0.000343689079701725	1.69027416247112e-05	0.129390487136992	0.133052747822571	0.000247906877162163	0.000180295910663118	0.00130714535230685	0	2.81712360411183e-05	0	0.000546521979197857	0.0214439448745874	0	0	0	0	0	0	0	0	0	0.000828234339609041	0	0	0.000135221932997087	0	0	0	5.63424720822368e-06	0	0	0	0	8.45137081233552e-05	5.63424720822368e-06	0.000225369888329148	6.76109664986439e-05	0.000507082248740331	0.0021241111975049	0.00698083229098906	0.00468769367723905	0.000664841170570434	0
7	0	0	0	4.84855537292493e-06	1.45456661187949e-05	0.0011054706250252	0.509626806693348	0	0.0637100176002049	0.00292852744524642	0.0402333124845251	0	0	0	0	0	1.45456661187949e-05	0	0	0	0	0	0.00012606243969649	0.000160002327306543	3.87884429834195e-05	0.000673949196837228	1.939422149176e-05	0.000368490208342737	0	0.215964353420416	0.12486969507448	0.000930922631602068	0.000116365328950761	0.000538189646395008	0	0.00012606243969649	9.6971107458599e-06	0.000446067094309576	0.0254403700417603	0	0	0	0	0	0	0	0	0	4.84855537292493e-06	0	0	0	0	0	0	0	0	0	4.84855537292493e-06	0	0	0.000145456661187949	9.69711074584986e-06	0	0	0.00215760714095491	0.00705949662298536	0.00274913089645243	0.000402430095952789	0
8	2.96526488710931e-06	5.93052977421861e-06	0	5.93052977421861e-06	2.96526488710931e-05	0.000806552049294133	0.415229007407869	2.96526488710931e-06	0.0547891993190647	0.00200748432856938	0.0410896755407364	1.18610595484373e-05	0	0	0	0	2.96526488710931e-06	0	0	0	1.48263244355465e-05	0	0.000373623375775974	0.000462581322389253	8.89579466133797e-06	0.000655323540051357	8.00621519519512e-05	0.00131064708010674	3.55831786453117e-05	0.212728103001189	0.236076598722325	0.00275176581523703	0.000492233971260345	0.00155972933062272	2.96526488710931e-06	0.00106453009447103	7.11663572906233e-05	0.000720559367568164	0.0148767339386016	2.96526488710931e-06	0	0	0	0	0	2.96526488710931e-06	0	0	5.93052977421861e-06	0	0	0	0	0	2.96526488710931e-06	1.77915893226558e-05	0	0	1.18610595484373e-05	0	2.37221190968744e-05	8.00621519519512e-05	5.63400328550767e-05	0	0	0.00563400328550767	0.00329144402469334	0.00215278230804457	0.00144704926491095	0
9	2.55314368581785e-06	0	0	7.65943105746362e-06	4.34034426589034e-05	0.000952322594811065	0.501125936365796	2.55314368581785e-06	0.079987438533075	0.00256080311687429	0.0546040840086478	0	0	0	0	0	1.27657184290892e-05	0	0	0	5.10628737163569e-06	2.55314368581785e-06	0.000104678891118532	9.9572603746896e-05	0	0.000868068853179076	3.06377242298141e-05	0.00204251494865428	7.65943105745354e-06	0.10820478254879	0.207506753064669	0.00118721181391034	0.000102125747432714	0.000444247001333314	0	0.00013021032797671	2.55314368581785e-06	0.000531053886651121	0.0226668096427252	0	0	0	0	0	0	0	2.55314368581785e-06	0	2.55314368581785e-06	0	0	2.55314368581785e-06	0	0	2.55314368581785e-06	2.55314368581785e-06	0	0	2.55314368581785e-06	0	1.78720058007249e-05	0	2.55314368581785e-05	0	0	0.00187145432170348	0.0101078958521297	0.00423311223109002	0.000492756731363853	0
10	0	4.32924796633207e-06	0	8.65849593266414e-06	0.000251096382047603	0.00359760506002309	0.369059730634005	8.65849593266414e-06	0.0331014299505736	0.00322096048695219	0.0186936927186351	1.29877438989862e-05	0	0	0	0	8.65849593266414e-06	8.65849593266414e-06	0	0	0	0	0.000199145406450852	0.000588777723421443	0	0.0037144947551203	0.00042426630070008	0.0013723716053302	3.89632316970591e-05	0.199768818158602	0.315922541095664	0.00537692597419013	0.00175767467433423	0.00305644906423283	0	0.00100005628022284	7.35972154276552e-05	0.00276638945048314	0.0102862931679914	4.32924796633207e-06	2.59754877979723e-05	0	0	0	0	0	0	0	0.000320364349508593	0	0	0.000350669085272525	0	0	4.32924796633207e-06	4.32924796633207e-06	0	0	0	0	3.03047357643345e-05	0	0.0033075454462734	0	0	0.00957196725355873	0.00418205353547897	0.00558905912453161	0.00228584292621471	0
11	5.53722120090608e-06	2.76861060045304e-06	0	0	0.000107975813418271	0.00525759153026596	0.384631996279156	0	0.0393253449688929	0.00126248643381302	0.0337078340605359	0	0	0	0	0	0	2.76861060045304e-06	0	0	0	0	7.75210968126851e-05	0.000467895191476162	4.42977696072486e-05	0.000545416288290053	0.000182728299630302	0.00122372588540507	1.66116636027183e-05	0.176548760769387	0.310316950541912	0.00374869875302106	0.00109913840837664	0.00221488848036243	0	0.000528804624686933	2.21488848036243e-05	0.00368778931980425	0.0166725730359049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76861060045304e-06	2.76861060045304e-06	0	0	2.76861060045304e-06	0	5.53722120091614e-06	8.30583180136917e-06	8.30583180136917e-06	0	0	0.0108612593856087	0.00350782963077883	0.00361303683359323	0.000285166891846864	0
