Timepoint	Corynebacterium	unknown5523	Renibacterium	unknown912	Bifidobacterium	Collinsella	Eggerthella	unknown7577	Bacteroides	Parabacteroides	Alistipes	unknown2247	unknown2959	Flavobacterium	Pedobacter	unknown7559	unknown5504	unknown1456	unknown589	Bacillus	Staphylococcus	Abiotrophia	Aerococcus	Enterococcus	Lactobacillus	Leuconostoc	Weissella	Lactococcus	Streptococcus	Turicibacter	unknown1563	Clostridium1	unknown3540	Anaerococcus	Finegoldia	unknown6507	Blautia	Clostridium	Coprococcus	Epulopiscium	Eubacterium	Lachnobacterium	Lachnospira	Roseburia	Ruminococcus	unknown1949	unknown2115	unknown2169	unknown2191	unknown2207	unknown2233	unknown2260	unknown2270	unknown2280	unknown2329	unknown2337	unknown2387	unknown2442	unknown2616	unknown2650	unknown2666	unknown2708	unknown2710	unknown2941	unknown3100	unknown3303	unknown3311	unknown3325	unknown3386	unknown3579	unknown4267	unknown6150	unknown6340	unknown639	unknown6621	unknown6632	unknown6638	unknown6960	Clostridium3	Eubacterium1	Faecalibacterium	Oscillospira	Ruminococcus1	unknown1106	unknown1856	unknown2016	unknown2020	unknown2181	unknown2356	unknown2481	unknown2524	unknown2589	unknown2623	unknown3103	unknown3225	unknown3379	unknown3809	unknown4729	unknown6040	unknown870	unknown2011	unknown3039	unknown3428	unknown3465	unknown3980	unknown4491	unknown4831	Dialister	Phascolarctobacterium	Veillonella	Fusobacterium	Leptotrichia	Brevundimonas	unknown1449	Afipia	Bradyrhizobium	Rhodopseudomonas	unknown7323	unknown318	Rhizobium	unknown7056	Novosphingobium	Sphingomonas	Sutterella	unknown3138	Burkholderia	Cupriavidus	Ralstonia	Acidovorax	Hylemonella	Simplicispira	unknown1260	unknown5527	unknown6951	Mitsuaria	unknown7162	Ideonella	unknown6169	Bilophila	unknown6464	unknown3425	Campylobacter	Helicobacter	Aeromonas	Enterobacter	Erwinia	Escherichia	Ewingella	Plesiomonas	Raoultella	Serratia	Trabulsiella	unknown134	Actinobacillus	Haemophilus	unknown109	Acinetobacter	unknown1280	Pseudomonas	Lysobacter	Clostridium2	unknown2564	unknown2222	unknown6437	Akkermansia	unknown1258	unknown2173
0	0	0	0	0	2.59845997938416e-05	0	8.66153326461733e-06	0.00246853698041651	0.372497899578399	0	0.0814617203537965	0.00181892198556787	0.0275696603812718	0	0	0	0	0	3.464613305849e-05	0	0	0	0	0	0	0.000207876798350319	0.000311815197526513	0.000207876798350319	0.000216538331615174	8.66153326461733e-06	0.00595913488605282	9.5276865910718e-05	0.000485045862818446	8.66153326461733e-06	0	8.66153326461733e-06	0.0177561431924878	0.027422414315731	0.025179077200238	0	0.00257247537959685	0.000173230665291932	0.00444336656473935	0.00354256710523167	0.00730167254206918	0.000987414792166603	0.00391501303560284	5.19691995876832e-05	0.000866153326461733	0.000190553731821643	6.92922661169801e-05	8.66153326461733e-05	0.00366382857093343	0.000433076663230348	0.000216538331615174	0.000485045862818446	0.00112599932440015	0	0	0.000233861398144885	0.000935445592578505	0.00186222965189734	0.000389768996908142	0.00160238365395167	0	0.00101339939196013	0.000311815197526513	7.79537993815248e-05	0.0022433371155344	0.00217404484941763	4.33076663230348e-05	0.00226066018206619	0.000433076663230348	0.000935445592578505	8.66153326461733e-06	0.0661827756748978	0.00168033745333433	0.00110001472460247	0.00397564376846409	0.0362571782456972	0.0887114236962289	0.0212207564983265	0.0582921188708517	0.00443470503148382	0.0131915151619638	0.00239924471429974	0.000632291928316847	0.00126458385663369	0.00445202809801561	0.00294492130996803	0.000259845997938417	0.00353390557196578	0.00192286038474822	0.00165435285353665	0.00141182992213313	0.00362052090461433	0.000303153664261659	1.73230665291932e-05	2.59845997938416e-05	0	0.000770876460550393	0.000632291928316847	0.00128190692316548	0	0.00012126146570487	8.66153326461733e-06	0.00189687578495054	0	0.0230310169505248	8.66153326461733e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464613305849e-05	8.66153326461733e-06	0	0	0	0	0	0	0	8.66153326461733e-06	0	6.92922661168764e-05	0	0	0	0.0114765315756488	8.66153326461733e-06	0.0253176617324508	0.00403627450131497	0.00338665950646634	0	8.66153326461733e-06
1	0	0	0	0	0	0	0	0.00204304484130779	0.418763806907632	0	0.0735345178966795	0.00460943121832651	0.0419377726785033	0	0	0	0	0	2.01285206040278e-05	0	0	0	0	0	1.00642603020243e-05	3.01927809060417e-05	0.000105674733171663	3.52249110570487e-05	0.000342184850268473	3.52249110570487e-05	0.000528373665856247	8.55462125671182e-05	5.53534316610764e-05	0	5.03213015100695e-06	0	0.0150209085008101	0.0191271267039945	0.0404180693729168	0	0.00122280762669417	0.0010013939000509	0.0262677193882874	0.0137477795725283	0.00550011825505525	0.000528373665856247	0.00506232293191196	5.03213015100695e-06	0.00064411265932889	1.00642603020243e-05	6.54176919630903e-05	3.52249110570487e-05	0.00146434987394458	0.000150963904530208	0.000739723132198539	0.000271735028154375	0.00146434987394458	0	0	0.00109197224276903	0.00045792384374215	0.00518812618568972	0.000211349466342292	0.00114732567443165	0	0.00152976756590198	0.000171092425134237	0.0013133859694092	0.00153479969605971	0.0079608298988961	0.000256638637701871	0.00162034590862734	0.000417666802534094	0.00309979217302442	4.52891713590626e-05	0.0498180884950206	0.00123287188699929	0.0142610568479134	0.0041263467238257	0.0138282936549071	0.11013823261523	0.0205965087081072	0.0101749671653391	0.000976233249296383	0.00742239197274302	0.00198265927949777	0.000779980173406595	0.00121274336638905	0.0046446561293789	0.00125300040759918	0.000301927809060417	0.0017461491624051	0.00326082033785457	0.000930944077936803	0.00104165094126413	0.00144925348349207	0.000583727097516807	3.01927809060417e-05	1.50963904530208e-05	0	0.00120771123624167	0.000372377631174514	0.0013133859694092	0	0.000110706863322153	0	0.000976233249296383	0	0.0293071259994603	2.01285206040278e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.03213015100695e-06	0	0	0	0	0	5.03213015100695e-06	0	0	0	0	4.52891713590626e-05	5.03213015100695e-06	0	0	0.00490129476708181	1.50963904530208e-05	0.00360300518812512	0.00483084494496668	0.000533405796006737	0	5.03213015100695e-06
2	0	0	0	0	0	0	0	0.00116115155383891	0.528731002746525	0	0.0827459734605756	0.00494024996893383	0.0412872928887503	0	3.85622287254521e-05	0	0	0	3.85622287254521e-05	0	0	0	0	0	0	2.57081524836689e-05	7.71244574508019e-05	3.85622287254521e-05	0.000128540762417832	8.56938416121271e-06	0.000467031436786292	6.85550732896812e-05	5.14163049672354e-05	0	0	0	0.00806807518777048	0.0122670734268035	0.023891443041436	0	0.000925493489410646	0.000749821114105729	0.0120228459781785	0.00850939847208017	0.00238657348889491	0.000441323284302521	0.00215948480862859	1.28540762417833e-05	0.0020180899699612	4.28469208060124e-06	3.85622287254521e-05	1.28540762417833e-05	0.000801237419073271	4.28469208060124e-05	0.000235658064433376	0.000205665219869147	0.00225374803439662	0	1.28540762417833e-05	0.00068983542497727	0.000162818299062519	0.00429326146477034	0.000137110146579772	0.000694120117057728	4.28469208060124e-06	0.00189383389963201	0.00013282545449829	0.000587002815043209	0.000638419120009728	0.00580575776921499	0.000102832609934061	0.00146107999948119	0.000257081524836689	0.0011911443984103	1.28540762417833e-05	0.0684736641401055	0.000925493489410646	0.00718971331125613	0.00160247483814859	0.011144484101613	0.076387490412914	0.0174172733076859	0.00669268902990868	0.000505593665511438	0.0037105433418035	0.001169720938008	0.000574148738800812	0.000912639413169272	0.00328635882582179	0.000908354721087791	8.99785336926875e-05	0.00253653771172118	0.00141823307867662	0.000454177360543895	0.000334205982286979	0.000672696656654415	0.000308497829803207	2.57081524836689e-05	8.56938416121271e-06	0	0.00103261079142517	0.000299928445642291	0.000998333254780478	0	0.000115686686176459	4.28469208060124e-06	0.000788383342830874	0	0.0240585460326005	1.71387683224459e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162818299062519	0	0	0	0	0.00014139483866023	4.28469208060124e-06	0	0	0	0	0	0	0	0	0	4.28469208060124e-06	4.28469208060124e-06	0	0	0	0	0	0	0	0	0	1.71387683224459e-05	0	0	0	0.00326922005750405	2.14234604030062e-05	0.00302499260890976	0.00410473501322405	0.000239942756513833	0	8.56938416121271e-06
3	6.20105045794877e-06	0	0	0	6.20105045794877e-06	0	1.24021009159387e-05	0.00117199853655528	0.461513180332988	0	0.0741521613760891	0.00380744498117939	0.0208417305891279	0	0	0	0	0	3.10052522897438e-05	0	0	0	0	0	0	7.44126054954264e-05	6.20105045794877e-05	3.10052522898467e-05	0.000173629412822319	0	0.00116579748609535	6.82115550374571e-05	0.000124021009159387	0	0	0	0.0163273658557641	0.0110378698151669	0.0292131487074533	0	0.00154406156402727	0.000744126054953236	0.00910934312272724	0.00659791768725017	0.00447095738018551	0.000341057775186771	0.00167428362364452	1.24021009159387e-05	0.000911554417318716	2.48042018317745e-05	1.24021009159387e-05	3.10052522897438e-05	0.00167428362364452	0.000155026261448719	0.000285248321065972	0.000316253573355305	0.000446475632972559	0	1.24021009159387e-05	0.000533290339383718	0.000427872481598959	0.00482441725628801	0.000359660926561399	0.00139523635304053	0	0.000502285087093357	0.000186031513738052	0.000477480885261891	0.000657311348542076	0.00512826872872141	8.06136559532929e-05	0.00253002858684656	0.000440274582514692	0.00101077122464561	3.10052522897438e-05	0.0817856544898996	0.00116579748609535	0.0050786603250626	0.00198433614653785	0.0195209068415448	0.111885553412433	0.0158746891723645	0.0279791396663503	0.000409269330224331	0.00605842629741168	0.00178590253189229	0.000682115550374571	0.00196573299516837	0.00315013363263321	0.00139523635304053	4.96084036635491e-05	0.00323694833905156	0.00167428362364452	0.000793734458617196	0.000502285087093357	0.00177970148143237	0.000235639917402012	1.86031513738052e-05	6.20105045794877e-06	0	0.00227578551807197	0.000508486137552252	0.00205254770157644	0	0.000105417857784759	0	0.00101077122464561	0	0.0197193404562829	2.48042018318773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.20105045794877e-06	0	0	5.58094541216212e-05	0	0	0	0.00705059437068059	1.24021009159387e-05	0.0032679535913409	0.00707539857252029	0.0010355754264781	0	1.24021009159387e-05
4	5.26085972969812e-05	0	0	0	0	0	0	0.000305129864322063	0.516800555547246	0	0.0873828801103276	0.00492416470699678	0.0294923796446479	0	0	0	0	0	3.15651583781479e-05	0	0	0	0	0	0	3.68260181078562e-05	3.15651583781479e-05	1.05217194594166e-05	1.05217194594166e-05	5.26085972969812e-06	0.00074704208161756	3.68260181079581e-05	9.46954751345457e-05	0	0	0	0.00534503348537345	0.0116317608623264	0.0164244040760831	0	0.000536607692429228	0.000284086425403229	0.0186444868820047	0.00760720316915311	0.00196756153890582	8.94346154049393e-05	0.00327751561160063	0	0.000794389819184426	0	2.10434389188332e-05	3.15651583781479e-05	0.000489259954862362	3.15651583781479e-05	0.000241999547566582	4.73477375672729e-05	0.000678650905130842	0	0	0.000226216968376948	5.78694570266895e-05	0.00257256040782482	8.4173755675231e-05	0.000299869004592864	0	0.000462955656213312	5.26085972969812e-05	0.000294608144863665	0.00153091018133748	0.00147830158404549	4.73477375672729e-05	0.00188864864295764	0.000173608371079865	0.000946954751345457	5.26085972969812e-06	0.138834088266314	0.000263042986485415	0.0066392049788766	0.00128891063377598	0.00873302715129541	0.0299027267036315	0.0111425009074865	0.0323805916363164	0.000220956108647749	0.00230425656160714	0.000505042534050979	0.000604998868915946	0.000657607466212009	0.00268303846214614	0.00105743280566883	4.20868778375646e-05	0.00181499660674682	0.000394564479727613	0.000115738914053582	0.000278825565674031	0.000494520814591562	0.000236738687836364	0	1.05217194594166e-05	0	0.000352477601889947	7.36520362158143e-05	0.000278825565674031	0	2.63042986485415e-05	5.26085972969812e-06	0.000284086425404249	0	0.0282823819067896	5.26085972969812e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000352477601889947	5.26085972969812e-06	0	0	0	0	0	0	0	0	3.15651583781479e-05	0	0	0	0	0	0	3.68260181078562e-05	0	0	0	5.26085972969812e-06	0	0	0	0	0	0	0	0	0	0.000989041629183124	1.05217194594166e-05	0.0045296002272763	0.00559755475239945	0.000299869004592864	0	0
5	2.93036858176223e-05	0	0	0	0	0	2.34429486541391e-05	0.0014300198678998	0.414025916179798	0	0.0869674787694918	0.00519847386404135	0.0182679177386624	0	0	0	0	0	4.10251601446918e-05	0	0	0	0	0	0	0.000128936217597455	0.000140657691924215	4.68858973082783e-05	0.000117214743270695	1.17214743270695e-05	0.00174063893756978	9.96325317798329e-05	0.000111354006106799	5.86073716352445e-06	5.2746634471658e-05	5.2746634471658e-05	0.0154489031630887	0.012659192273169	0.0395365329051324	0	0.00179338557203658	0.000662263299477932	0.0126181671130671	0.00800576696537415	0.00625926729063221	0.000339922755484294	0.00278385015267515	0	0.00213916906468787	2.34429486541391e-05	6.44681087987276e-05	2.34429486541391e-05	0.0015941205084827	0.000105493268942903	0.000445416024427196	0.000410251601446918	0.000275454646685566	0	5.86073716352445e-06	0.00061537740216986	0.000462998235917853	0.00599553411828787	0.000246150960868151	0.00127764070165089	0	0.00026959390952167	0.000210986537886839	0.00062709887649662	0.000949439420490258	0.00386222579076183	7.61895831257971e-05	0.00383878284210418	0.000240290223704254	0.00127177996448906	5.86073716352445e-06	0.0554132698810656	0.000978743106307673	0.0036277963042163	0.00259044582627276	0.0235894670831332	0.0810422734971149	0.0170254414600238	0.0672695411628883	0.000462998235917853	0.00668124036641829	0.000779478042748628	0.000486441184572405	0.00201023284708628	0.00288934342161908	0.00233257339107992	0.000128936217597455	0.00366882146436977	0.00192232178963817	0.000539187819044373	0.000808781728566043	0.00177580336055109	0.00025787243519491	4.10251601446918e-05	2.34429486541391e-05	0	0.00124247627866958	0.000421973075773678	0.00233843412824175	0	2.34429486541391e-05	5.86073716352445e-06	0.00101390752928899	2.93036858176223e-05	0.0261447484864763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86073716352445e-06	0.000304758332502981	0	0	0	0	0	0	0	0	0	0.000105493268942903	0	0	0	0	5.86073716352445e-06	5.86073716352445e-06	3.51644229811054e-05	0	0	0	0	1.17214743270695e-05	0	1.75822114905526e-05	0	0	4.68858973081749e-05	0	0	0.000275454646685566	0.00584315495202862	2.34429486541391e-05	0.0140540477180771	0.0167558475505176	0.00130108365029821	0	5.86073716352445e-06
6	0	0	0	0	1.14957063536261e-05	0	5.74785317683357e-06	0.00130476267114384	0.601098989527381	0	0.0745324121441133	0.00681120601455475	0.0263079239903986	0	0	0	0	0	1.14957063536261e-05	0	0	0	0	0	0	1.72435595305417e-05	4.02349722378964e-05	2.29914127073548e-05	1.14957063536261e-05	0	0.000229914127073548	0.00020117486118897	9.77135040062321e-05	0	0	1.72435595305417e-05	0.00731701709410651	0.0121222223499661	0.0152318109186008	0	0.00095989148053096	0.000500063226383865	0.00743772201083321	0.00479370954948075	0.00272448240581984	9.1965650829419e-05	0.00196576578647683	1.14957063536261e-05	0.000523054639092346	1.14957063536261e-05	2.29914127073548e-05	2.29914127073548e-05	0.00100587430594587	8.04699444756905e-05	0.000252905539781005	0.00020117486118897	0.000212670567543211	0	5.74785317683357e-06	0.000419593281909301	0.000189679154835753	0.00344871190609809	0.000109209210360166	0.000615020289921151	0	0.000281644805664558	7.47220912988774e-05	0.000298888365195919	0.00100012645276978	0.00249456827874527	0.000109209210360166	0.00302911862418777	0.000178183448481513	0.000827690857464362	0	0.0527423007506057	0.000867925829702156	0.00206922714366091	0.00183931301659658	0.0107082504684949	0.0501040361425297	0.0166112956810892	0.0295209739161866	0.000109209210360166	0.00300037935830729	0.00035061904378693	0.000488567520030648	0.00117830990125334	0.00377059168400864	0.00173010380622822	9.77135040062321e-05	0.00175309521893465	0.00091390865511707	0.000448332547792854	0.000218418420719307	0.00129901481796979	0.00020117486118897	2.29914127073548e-05	2.29914127073548e-05	0	0.000252905539781005	0.000183931301658634	0.00133350193702432	0	2.87392658841678e-05	0	0.00055754175815302	0	0.0218705813379033	5.74785317683357e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000810447297934025	1.14957063536261e-05	0	0	0	0.000137948476243718	0	0	0	0	0	0	0	0	0	0	0	8.62177976525035e-05	0	0	0	0	0	0	0	5.74785317683357e-06	0	0.000224166273896427	0	6.89742381219618e-05	0.000517306785915226	0.00193702652059635	1.72435595305417e-05	0.00712159008609671	0.00478221384312242	0.000678246674866402	0	5.74785317683357e-06
7	0	0	0	0	4.93354514686952e-06	0	0	0.00112484829348453	0.518559996842901	0	0.0648267832298365	0.00297986126870894	0.0409385576287173	0	0	0	0	0	1.4800635440629e-05	0	0	0	0	0	0	4.93354514686952e-05	7.89367223499532e-05	4.4401906321887e-05	0.000118405083525442	3.94683611749766e-05	0.000286145618518964	1.97341805875394e-05	3.94683611749766e-05	0	0	0	0.00676882394151079	0.0113718215635666	0.0310616002446968	0	0.000784433678353746	0.000715364046296387	0.0153235912262152	0.00861396982643341	0.00122845274157159	0.00023681016704986	0.00318213661973217	0	0.00068082923026873	4.93354514686952e-06	9.86709029374926e-06	9.86709029374926e-06	0.000868303945849485	2.46677257343476e-05	0.000320680434546621	0.000143072809259482	0.001139648928927	0	0	0.000448952608365678	0.000212142441315819	0.00457339635115047	0.000108537993230802	0.000276278528225347	0	0.000700563410855962	4.93354514686952e-05	0.000330547524840237	0.00211155732285639	0.00389750066602958	7.40031772030428e-05	0.00293545936239176	0.000143072809259482	0.00134192427995023	9.86709029374926e-06	0.10644123654346	0.000488420969540144	0.00522955785568823	0.00139619327656921	0.0156048032995608	0.0539581832712524	0.0124276002249387	0.0196601774103271	2.9601270881258e-05	0.00310319989737915	0.000335481069987045	0.000483487424393335	0.00279238655312819	0.00241250357681577	0.00081896849438038	6.90696320562346e-05	0.00287625682062189	0.000720297591443195	0.000212142441315819	0.000448952608365678	0.000907772307024973	0.000157873444699907	1.97341805875394e-05	4.93354514686952e-06	0	0.000947240668199438	0.000118405083525442	0.000547623511302864	0	0.000128272173819058	9.86709029374926e-06	0.000453886153512487	0	0.0258863113856481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93354514686952e-06	0	0	0	0	0	0	0	0	0	0	0	4.93354514686952e-06	0	0	0	0	0	0	0	0	0	0	0	0.000138139264112674	0	9.86709029374926e-06	9.86709029373904e-06	0	0	0	0.00191914906213496	4.93354514686952e-06	0.00718324173384881	0.00279732009827909	0.000409484247190191	0	0
8	3.03757480027662e-06	0	0	0	6.07514960055322e-06	0	6.07514960055322e-06	0.000826220345675651	0.425354636858626	0	0.0561252695846558	0.00205643813978356	0.0420916740074974	3.03757480027662e-06	0	0	0	0	3.03757480027662e-06	0	0	0	0	1.21502992011065e-05	0	0.000160991464414248	0.000221742960420811	9.72023936088516e-05	0.000376659275234094	9.11272440084014e-06	0.000325020503630009	8.20145196074685e-05	0.000160991464414248	6.07514960055322e-06	9.11272440084014e-06	0	0.0169253667871932	0.0141733240180816	0.0298411348379965	0	0.00252118708423577	0.00153397527414587	0.00777315391390662	0.0136964247744151	0.00336563287871226	0.000583214361653522	0.00292518453266803	0	0.00131830746331882	4.86011968044258e-05	2.43005984022129e-05	9.11272440084014e-06	0.0014762613529398	0.000136690866012448	0.000568026487652138	0.00020959266121888	0.00160383949454564	0	3.03757480027662e-06	0.000622702834056705	0.000531575590048407	0.00538865769569772	0.000212630236019363	0.000631815558458154	0	0.00161598979374963	0.000224780535220263	0.000349321102031811	0.0026730658242496	0.0109960207769849	0.00016402903921473	0.00250296163542463	0.000173141763616179	0.00308921357188585	4.86011968044258e-05	0.0711248139485057	0.000473861668843357	0.00545852191609748	0.00121502992011065	0.0161264846146982	0.152543968894824	0.00962303696728414	0.0232465599464856	0.00111478995170605	0.00801615989793492	0.000826220345675651	0.00054676346404979	0.00865405060599508	0.00181343215576555	0.000725980377266935	3.64508976033194e-05	0.00402478661036651	0.00059232708605394	0.000513350141247571	0.000640928282858571	0.00187114607697163	0.000106315118009681	3.03757480027662e-05	3.9488472403596e-05	2.12630236019363e-05	0.00281886941465629	0.000504237416846124	0.0015977643449488	3.03757480027662e-06	0.00109048935329807	7.29017952066387e-05	0.000738130676467835	0	0.0151939491509078	4.55636220041492e-05	3.03757480027662e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.11272440084014e-06	0	0	0	0	0	0	1.5187874001383e-05	3.03757480027662e-06	0	0	0	0	0	0	6.37890708058089e-05	1.82254488016597e-05	0	5.16387716047024e-05	3.03757480027662e-06	0	0	0.00540384556969498	1.82254488016597e-05	0.0033717080283091	0.00220527930500412	0.00148233650253664	0	3.03757480027662e-06
9	2.59904303235193e-06	0	0	0	5.19808606471412e-06	0	2.59904303235193e-06	0.000969443051068296	0.510134968304829	0	0.0814228201176074	0.00260684016144796	0.0555857333329733	0	0	0	0	0	1.29952151617596e-05	0	0	0	0	5.19808606470386e-06	2.59904303235193e-06	4.67827745824373e-05	5.9777989744197e-05	1.81933012264635e-05	8.31693770352617e-05	0	0.000514610520406709	3.11885163882231e-05	0.000153343538908764	2.59904303235193e-06	2.59904303235193e-06	0	0.00449374540294368	0.0125793682766039	0.0206390007199303	0	0.000865481329774219	0.000535402864665524	0.00938254534680073	0.00720194824266054	0.00155162869031512	8.57684200677163e-05	0.00613893964242141	7.79712909706605e-06	0.000727732049059567	5.19808606471412e-06	2.07923442588154e-05	5.19808606471412e-06	0.000647161715056657	1.55942581941116e-05	0.000766717694544846	6.4976075808901e-05	0.000836891856418348	2.59904303235193e-06	0	0.000356068895432214	0.000129952151617596	0.00237552533157171	7.79712909706605e-05	0.000301488991752824	0	0.000605577026539026	7.27732049059567e-05	0.000252107174138137	0.00342813775967938	0.0048862009008319	5.9777989744197e-05	0.00183752342387384	0.000111758850391133	0.00144506792598562	3.11885163882231e-05	0.0176397050606351	0.000348271766335158	0.00446255688654929	0.0015438315612191	0.0229807384920824	0.0756607417149336	0.0145286505508165	0.067086498751105	0.000514610520406709	0.00483681908321002	0.000421044971242039	0.000696543532671344	0.00337095881296148	0.00260424111842279	0.00165299136857377	6.75751188412528e-05	0.00184012246690927	0.000569190424086099	0.000223517700782266	0.000956447835906537	0.00127093204281701	0.000127353108585245	7.79712909706605e-06	3.11885163882231e-05	7.79712909706605e-06	0.00120855501004878	0.000103961721294077	0.000452233487630263	0	0.000132551194649948	2.59904303235193e-06	0.000540600950730228	0	0.0230587097830428	1.55942581941116e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59904303235193e-06	0	0	0	0	0	0	0	0	0	0	2.59904303235193e-06	0	0	0	2.59904303235193e-06	0	0	0	0	0	2.59904303235193e-06	1.55942581941116e-05	0	0	0	0	0	0	0	0	0	0	2.59904303235193e-05	0	0	0	0.00167118466980127	2.59904303235193e-06	0.0102896113650577	0.0043092133476436	0.000501615305244949	0	0
