Timepoint	Acidobacteriales	Actinomycetales	Bifidobacteriales	Coriobacteriales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Stramenopiles	Streptophyta	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingomonadales	Burkholderiales	Neisseriales	Rhodocyclales	Desulfovibrionales	MIZ46	Myxococcales	Campylobacterales	Aeromonadales	Enterobacteriales	Pasteurellales	Pseudomonadales	Xanthomonadales	Erysipelotrichales	RF39	Verrucomicrobiales
0	0	0	2.50727108614983e-05	0.00245712566442944	0.466435997727173	0	0	0	0	0	3.34302811486978e-05	0	0.00091097516130054	8.35757028716945e-06	0.486301942298819	0	0	8.35757028716945e-06	8.35757028716945e-06	0	0	0	1.67151405742989e-05	0	1.67151405742989e-05	0	0	8.35757028716945e-06	0	4.17878514358972e-05	8.35757028716945e-06	6.68605622972956e-05	0	0.011675525691214	0.0287082539364521	0.00326780998228418
1	0	4.86376591666685e-06	0	0.00203791791908691	0.520875283314637	4.86376591666685e-06	0	0	0	0	1.94550636666674e-05	0	0.000554469314501021	3.40463614166679e-05	0.462330132975108	0	0	0	0	0	0	0	4.86376591666685e-06	0	1.45912977500005e-05	0	0	4.86376591666685e-06	0	1.45912977500005e-05	0	4.86376591666685e-05	0	0.0052528671900002	0.00828299335608314	0.000515559187166686
2	0	3.76860749952843e-05	0	0.00117245566651951	0.642786257144732	0	3.76860749952843e-05	0	0	0	4.60607583275808e-05	0	0.000267989866632888	8.37468333228651e-06	0.344500973556856	0	0	0	4.18734166613825e-06	0	0	0.000305675941627873	4.18734166613825e-06	0	4.18734166613825e-06	0	0	0	0	8.37468333227651e-06	0	2.09367083306913e-05	0	0.00350480497455854	0.00705567070745706	0.000234491133303902
3	0	2.41202151523048e-05	6.03005378808119e-06	0.00119395065004024	0.544929930775107	0	0	0	0	0	3.0150268940406e-05	0	0.000331652958345065	0	0.434833208712086	0	0	0	0	0	0	0	0	0	0	0	0	6.03005378808119e-06	0	6.03005378808119e-06	6.03005378808119e-06	5.42704840928107e-05	0	0.00735063556767145	0.010220941170802	0.0010070189826102
4	0	5.68120193574566e-05	0	0.000325377929047324	0.626982610357625	0	0	0	0	0	3.09883741949309e-05	0	8.78003935523875e-05	5.16472903249515e-06	0.360301826764359	0	0	0	0	0	0	0.000366695761307366	0	0	5.16472903249515e-06	3.09883741949309e-05	0	0	0	4.64825612924464e-05	0	0	0	0.00118272294844118	0.0102829755037103	0.000294389554852294
5	0	3.40309681810463e-05	0	0.0014916907719363	0.507753388916872	2.26873121207642e-05	0	0	0	0	4.53746242414284e-05	0	0.000436730758323661	1.13436560603821e-05	0.45108048324017	0	0	0	0	0	0	0.000374340649991709	0	0	1.70154840905232e-05	0.00010776473257328	0	1.13436560603821e-05	0	5.67182803018105e-05	1.70154840905232e-05	4.53746242414284e-05	0.000266575917418429	0.00622766717713807	0.0307413079234925	0.00125914582269611
6	0	0	1.12228407254013e-05	0.00134112946669016	0.692022804812082	5.61142036272067e-06	0	0	0	0	1.6834261088102e-05	0	8.97827258037107e-05	0	0.289863530257035	0	0	5.61142036272067e-06	0	0	0	0.000959552882025114	0	0	5.61142036272067e-06	0	0	0	0	8.417130544081e-05	5.61142036272067e-06	0.000291793858861035	0.00050502783264506	0.00211550547675025	0.0120140509966014	0.000662147602801079
7	0	0	4.82488094606171e-06	0.00111454749854039	0.613522211339217	0	0	0	0	0	1.44746428382051e-05	0	0.000284667975818101	3.85990475685137e-05	0.371062294038131	0	0	0	0	0	0	9.64976189212341e-06	0	0	0	0	0	4.82488094606171e-06	0	0	0.000144746428382051	9.64976189212341e-06	0	0.00214707202100076	0.011241972604304	0.000400465118523142
8	0	8.84324464540685e-06	5.89549643027123e-06	0.00083421274488398	0.510101933133222	1.17909928605425e-05	0	0	0	0	2.94774821513562e-06	0	0.00086074247882	8.84324464541685e-06	0.474033285972907	2.94774821513562e-06	0	0	0	0	2.94774821513562e-06	5.89549643027123e-06	2.94774821513562e-06	0	1.76864892908137e-05	0	0	1.17909928605425e-05	0	2.35819857210849e-05	7.95892018086617e-05	5.60072160875767e-05	0	0.00560072160875767	0.00688888757878034	0.00143850112898778
9	0	5.0619839940005e-06	7.59297599101074e-06	0.000989617870828097	0.632773309171062	0	0	0	0	0	1.26549599850012e-05	0	0.000210072335751021	0	0.345212122439034	0	0	0	0	0	0	7.59297599100074e-06	2.53099199700025e-06	0	2.53099199700025e-06	0	0	2.53099199700025e-06	0	1.77169439790017e-05	0	2.53099199700025e-05	0	0.00185521713380018	0.0183876568582018	0.000488481455422048
10	0	2.57948023472964e-05	8.59826744910545e-06	0.00382192988113184	0.42116463532594	1.28974011736482e-05	0	0	0	0	1.28974011736482e-05	1.28974011736482e-05	0.000795339739042804	0	0.547279723135841	4.29913372455273e-06	2.57948023472964e-05	0	4.29913372455273e-06	4.29913372455273e-06	0	0.000666365727305323	4.29913372455273e-06	0	4.29913372455273e-06	0	0	0	0	3.00939360718791e-05	0	0.003284538165554	0	0.00950538466498461	0.011061671073286	0.00226994260655528
11	0	2.20399639646207e-05	0	0.00533918127043657	0.456684583320225	0	0	0	0	0	0	5.50999099115518e-06	0.000550999099115518	4.40799279292414e-05	0.518148532827625	0	0	0	0	0	0	0	2.75499549557759e-06	0	2.75499549557759e-06	0	0	2.75499549557759e-06	0	5.50999099116518e-06	8.26498648674277e-06	8.26498648674277e-06	0	0.0108078473291821	0.00808315678403425	0.000283764536044692
12	0	4.60509239489915e-05	8.3728952634639e-06	0.00448368541358636	0.498212386860732	0	0	0	0	0	0	0	0.000770306364238439	4.18644763173195e-05	0.471532156104768	0	0	0	0	0	0	0	4.18644763173195e-06	0	0	0	0	0	0	8.3728952634639e-06	4.18644763173195e-06	8.3728952634639e-06	0	0.00959115152429014	0.0134259375549388	0.00186296919612552
13	0	9.00206147206829e-06	3.00068715735943e-06	0.00383787887426253	0.447987589157857	1.20027486294577e-05	0	0	0	0	3.00068715735943e-06	6.00137431471886e-06	0.000468107196547551	1.20027486294577e-05	0.525699385159248	0	0	3.90089330456126e-05	0	0	0	8.10185532485646e-05	6.00137431470886e-06	0	6.00137431470886e-06	0	0	6.00137431471886e-06	0	6.00137431471886e-06	8.4019240406004e-05	4.2009620202952e-05	0	0.00810185532485646	0.0121227761157553	0.00146733601995038
14	0	6.45063490374052e-06	9.67595235561078e-06	0.00181585372541015	0.682896464084055	6.45063490374052e-06	0	0	0	0	0	0	0.000151589920238012	1.93519047112016e-05	0.295690653353024	0	0	0	0	0	0	6.45063490374052e-06	0	0	6.45063490374052e-06	0	0	3.22531745187026e-06	0	9.67595235561078e-06	6.45063490374052e-06	9.67595235561078e-06	0	0.00213193483568017	0.0167232709879013	0.000506374839943041
15	0	4.50460595960204e-05	0	0.00713980044596323	0.488952453884221	0	0	0	0	0	0	0	0.000608121804546275	0.000135138178788061	0.476767494763216	0	0	0	0	0	0	0.000157661208586071	0	0	0	0	0	2.25230297980102e-05	0	4.50460595960204e-05	6.75690893939306e-05	6.75690893939306e-05	0	0.00439199081060199	0.0125453275975057	0.00905425797879409
16	0	1.07909787417954e-05	1.07909787417954e-05	0.00405740800690826	0.53648429912577	0	0	0	0	0	0	0	0.000118700766159949	1.07909787417954e-05	0.453922520772805	0	0	0	0	0	0	0	0	0	0	0	1.07909787417954e-05	1.07909787417954e-05	0	0	0	0	0	0.00273011762165883	0.002330851408219	0.00030214740476987
17	0	0.000127654142376991	0	0.00908471979915935	0.340804646610975	0	0	0	0	0	0	0	0.000797838389855943	9.57406067826931e-05	0.623856431640955	0	0	1.06378451980992e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.06378451980992e-05	0	0	0.013658993234399	0.00882941151438936	0.0027232883707098
18	0	9.59278622476368e-06	9.59278622476368e-06	0.00482517147105886	0.407770156841797	0	7.67422897981895e-05	0	0	0	0	0	0.000383711448989947	1.91855724495474e-05	0.576113962300599	0	0	8.63350760229631e-05	0	0	0	0.000105520648472411	0	0	0	0	0	0	0	0	4.79639311238684e-05	2.87783586743211e-05	0	0.00359729483428263	0.00602426974915307	0.000901721905128326
20	0	2.91002211615915e-05	0	0.0124112443254964	0.362501455010894	0	0	0	0	0	0	0	0.00142591083691958	1.45501105807957e-05	0.596459958095826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124476196018964	0.0127531719240963	0.00195698987312943
21	0	0.000276066844985606	6.13481877744903e-06	0.00268091580575107	0.602107923732187	0	0	0	0	0	0	0	0.00031287575765022	2.45392751097761e-05	0.384205295575307	6.13481877744903e-06	0	0	0	0	0	3.06740938872451e-05	0	0	0	0	0	6.13481877744903e-06	0	1.22696375549381e-05	6.13481877744903e-06	0	0.000576672965080289	0.00339255478393027	0.00569924664425943	0.000656425609187286
22	0	1.98848007212096e-05	1.32565338140731e-05	0.00509050898462285	0.554454526774695	6.62826690705653e-06	0	0	0	0	0	0	0.000424209082050738	5.96544021635287e-05	0.417666982614239	0	0	0	0	0	0	0.000874931231731022	0	0	6.62826690705653e-06	0	0	0	0	1.98848007211096e-05	6.62826690705653e-06	0.000483863484215467	6.62826690705653e-06	0.00562077033718378	0.0136608580954249	0.00158415579078913
23	0	0.000279908190113644	0	0.0176062251581394	0.345938532161387	2.79908190113644e-05	0	0	0	0	2.79908190113644e-05	0	0.00341487991938805	0.000335889828135972	0.614370486480524	0	0	0	0	0	0	0	0	0	2.79908190113644e-05	0	0	0	0	0.00019593573307915	0.000391871466158301	5.59816380227287e-05	0	0.0129877400212523	0.00279908190113644	0.00153949504562904
24	0	3.46128552143767e-05	0	0.00394586549444354	0.494029282475133	0	0	0	0	0	3.46128552143767e-05	0	0.00179986847115039	3.46128552143767e-05	0.484164618739774	0	0	0.00152296562943417	0	0	0	0.0014883527742259	0	0	0	0	0	0	0	0	0	0.00051919282821615	0	0.0106953722612575	0.000796095669932364	0.000934547090789471
25	0.00375292659413983	0.00199697011430537	0	0.0022035532295877	0.474831290455628	0	0	0	0	0	0	0	0.00113620713400757	0	0.490084010467071	0	0	0.00223798374879639	0	0	0.00244456686406867	0.00998485057155702	0	0.000172152596061571	0	0	0	0	0	0	0	0.00241013634485998	0.000309874672910425	0.00533673047790064	0.000688610384245277	0.00241013634485998
26	0	0.00228310502283217	0	0	0.00228310502283217	0	0	0	0	0	0	0	0.0707762557078672	0	0.00456621004566434	0	0	0.0867579908675824	0	0	0.155251141552148	0.420091324201399	0	0	0	0	0	0	0	0.0821917808219781	0.00228310502283217	0.116438356164111	0.0570776255707542	0	0	0
